#  dphiHiggstop        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      113.26548     0.26628408      105.68009     0.26069713      120.06584     0.32527632
            0.2      111.37688      0.2683893      103.99386      0.2623337      118.14372     0.32931773
            0.4      111.05378     0.26270788      103.53084     0.25964465      118.02501     0.33746645
            0.6       110.3551     0.27341928      103.13663     0.28270473      116.89293     0.32394694
            0.8      111.09511     0.27777994      103.79562     0.30723155      117.51648     0.32223226
              1       112.3687     0.26600151      105.09631     0.25934436      118.94436     0.32815847
            1.2      116.22149     0.27168708      108.80447     0.25508403      123.19579     0.33061718
            1.4      122.00341     0.28088937      114.52611     0.28305667      128.91946     0.34088762
            1.6      129.97516     0.28884825      121.96304     0.28520479      137.64056     0.35444506
            1.8      140.68476      0.3046445      132.49135     0.29933404      148.55063     0.39022779
              2      155.67025     0.33099058      146.75845     0.34868002      163.76749     0.38693981
            2.2      174.26012     0.35815626      164.42134     0.33096116      183.19798     0.41115738
            2.4       197.4482     0.38761757      186.79815      0.4144769      206.77533     0.44388458
            2.6      224.01992     0.39585235      212.38853     0.39758826      234.65472     0.48493803
            2.8      250.90458     0.44083964      238.28829     0.55726605      262.45159     0.50910776
              3      188.20901     0.36953412      178.64538     0.37101152      197.01725      0.4481278
            3.2      188.20901     0.36953412      178.64538     0.37101152      197.01725      0.4481278
