#         ytbar        central        num_err    min (scale)        num_err    max (scale)        num_err
             -4    0.038127357    0.093849938    0.021684579     0.05701255    0.094653493     0.16853659
           -3.8   0.0063640539    0.046665453  -0.0070471566      0.0221292    0.059632999    0.080662354
           -3.6    0.063108604    0.025498074   0.0061440591    0.011799749     0.12232088    0.040467468
           -3.4   0.0084939179   0.0051147572   0.0084939179   0.0051147572     0.21712729     0.03646521
           -3.2     0.51859494     0.03734755    0.089859999    0.016041479     0.95868162    0.061077551
             -3      2.7683383     0.08203632       2.485071    0.070745071      3.1082205      0.1075319
           -2.8      5.9483927     0.12049921      5.4620656     0.10686204       6.499771      0.1543685
           -2.6      10.951612     0.16035826      10.061274      0.1413675      11.987452     0.20571983
           -2.4      18.836094      0.2133005      17.342284      0.1925228      20.274561     0.27058949
           -2.2      29.445336     0.26535611      27.307205     0.24012274      31.633589     0.33314991
             -2      42.131319     0.31731843      39.184748      0.2885888      45.151637     0.39687258
           -1.8       58.09814     0.37246376      54.115913     0.34000147      62.198586     0.46380963
           -1.6      73.832063     0.41991688       69.26503     0.38961328      78.112206     0.51975703
           -1.4      91.118342     0.45717846      85.198823     0.41734619      96.820617     0.57277848
           -1.2      109.80364     0.50110615      102.54164     0.45985763      116.77333     0.62338491
             -1      125.58447     0.53720335      117.52379     0.49589673      133.05479      0.6657787
           -0.8      139.68271     0.56720574      130.70948     0.52260154      148.07663     0.70313576
           -0.6      150.92536     0.59054408       141.3827     0.54863055        159.543     0.72860028
           -0.4      159.01553     0.60108469      148.82659     0.55389415      168.16423     0.74789296
           -0.2      164.13735     0.60863627      153.70549     0.55979262      173.82636     0.75756188
              0      163.33091     0.61258456      153.09825     0.56794847      172.44265     0.75717552
            0.2      160.40875     0.60233991      150.29372     0.55438585      169.76431     0.74937846
            0.4      151.09747     0.58832523      141.46289     0.54215444      159.90183     0.73221951
            0.6      139.31339     0.56673503      130.40302     0.51918633      147.78777     0.70724043
            0.8       126.0562     0.53572714      117.86993     0.49217711      134.00481     0.67389289
              1      109.91071     0.50665475      102.67212     0.46326752      117.00327      0.6336816
            1.2      92.363794     0.47007274      86.116812     0.43053229      98.410216      0.5870341
            1.4      75.397911     0.42453113      70.528121     0.38997581      80.050624     0.53231964
            1.6      57.326987     0.37176071      53.432476     0.33872765      61.029317      0.4691986
            1.8      43.126919     0.31886228      39.929985      0.2875864       46.37994     0.40600002
              2      29.569416     0.26760144      27.412042     0.24161511      31.757656     0.34260592
            2.2       19.40397     0.21913206      17.885156     0.19731432      20.884482     0.28064231
            2.4      11.279435     0.16689402       10.40938     0.14632399      12.123116     0.21638122
            2.6      6.1049041     0.12451357       5.528626     0.10777517      6.7808995      0.1627709
            2.8      2.5633559    0.080412553      2.2611238    0.066948653      2.9485328     0.10930072
              3     0.90411677    0.048632239     0.71787569    0.038054481      1.1094734    0.068172319
            3.2     0.12128323    0.019233752     0.10282872    0.016663074     0.28640751    0.040140241
            3.4    0.049673303    0.020349673  -0.0015600514   0.0019331745     0.13586526     0.04005356
            3.6   -0.014436894     0.01401641    -0.02038899    0.033710996    0.022832879    0.064003668
            3.8    0.040089717     0.09854517    0.015414435    0.070463266    0.085787792     0.18118326
              4    0.040089717     0.09854517    0.015414435    0.070463266    0.085787792     0.18118326
