#    R_etattbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      2.6988841     0.08399428      2.3313866    0.069921712      3.1365638     0.10720855
            0.2       9.238996     0.15245073      8.1293856     0.13061045      10.420943     0.19256365
            0.4      15.389221     0.18814579        13.6062     0.16352856      17.274546     0.23503922
            0.6      21.709821     0.21771999      19.305571     0.19223287      24.195355     0.26950055
            0.8      27.977254     0.24648248       25.04373     0.21774271       31.12388     0.30487514
              1      34.389588     0.27275415      30.952124     0.24280327      37.921963      0.3391142
            1.2      42.783575     0.30772202      38.688923     0.27758295      46.931567     0.37734552
            1.4      51.646152     0.33685014      46.892311     0.30427973      56.420656     0.41588093
            1.6      64.500173     0.37571806      58.836898     0.34146393      70.459496     0.46337299
            1.8      81.428321     0.42261432      74.664906     0.38341007      88.221733     0.52262444
              2      104.54629     0.48492119      96.595401     0.44529427      112.29256     0.59747356
            2.2      139.55742     0.56750294      129.96275     0.52987782       148.1936     0.69322498
            2.4      187.50589     0.65185413      175.70521     0.60492358      198.56347     0.80815913
            2.6      257.29757     0.76916603      243.06783     0.72056835      269.73806     0.95426749
            2.8      348.62387      0.8942401       332.1299     0.83906339      362.40692      1.1231627
              3       401.2534     0.96400649      383.25507     0.91712575      415.31325      1.2182909
            3.2      205.39361     0.69740012      194.00664     0.64951329      215.55746     0.86719708
            3.4      121.28925      0.5297053      113.47719     0.48569591      128.65064     0.66181364
            3.6      78.721486     0.42498929      72.685127     0.38679025      84.861693     0.52832693
            3.8      52.750807     0.34704404      48.519893     0.31203606      57.018394     0.43305469
              4      36.517555     0.28526822      33.344944     0.25408123      39.959036     0.35816111
            4.2      25.023556     0.23777033      22.651495     0.21024995      27.672021     0.29740386
            4.4      18.278462     0.20180247      16.477268     0.17748863      20.301894     0.25389299
            4.6      12.857719     0.16819445      11.390431     0.14582322      14.633515     0.21302805
            4.8      9.0638133     0.14040207      8.0397743     0.12133824      10.332866     0.17874267
              5      9.0638133     0.14040207      8.0397743     0.12133824      10.332866     0.17874267
