#  dphiHiggstop        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      112.00374     0.50459324      103.56668     0.46020164       119.9313     0.62773238
            0.2      110.55724     0.49477137      102.80328     0.45114063        117.437     0.61772755
            0.4      110.56185     0.49656204       102.6011      0.4556968       117.7985     0.61858252
            0.6      109.66213     0.49561979      101.75114     0.45695647      116.87619      0.6156856
            0.8      110.49621     0.49544864      102.63087     0.45385406      118.02359     0.61733359
              1      112.07202     0.50708533      104.25253     0.46808629      119.35133       0.626291
            1.2       116.2657     0.51029151      108.36955     0.47037281      123.77754     0.63548307
            1.4      121.50899     0.52766899      113.21631     0.48640624      129.24302      0.6562843
            1.6      130.14164     0.53973966       121.3737     0.49396699       139.0313      0.6760028
            1.8      141.28794     0.57285502      131.98948     0.52921561      149.97879     0.70770549
              2      157.49978     0.60787702      147.32148     0.56486861      167.05312     0.74938151
            2.2      174.94462     0.63801324      164.18515     0.59193865      184.97894     0.79195938
            2.4      198.07218     0.69201951      185.94232     0.64299297      209.28675     0.85854627
            2.6      227.29389     0.73667155      214.06187     0.68927367      239.69838     0.91637782
            2.8      254.60489     0.78305688      240.08772     0.73349428      268.51813     0.97284933
              3      193.35602     0.69425226      182.44631      0.6480353      203.64256     0.86470392
            3.2      193.35602     0.69425226      182.44631      0.6480353      203.64256     0.86470392
