#    R_etattbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      4.7065518     0.60872429       3.897578     0.41397158      6.1640453     0.96953839
            0.2       9.646173     0.24226382      8.4269787     0.20556308      11.123457     0.42442517
            0.4      16.056529     0.30245439      14.410516     0.33212694      17.358119     0.57327657
            0.6      22.379379     0.30415953      20.146149     0.29011035      23.571047      1.0316355
            0.8      27.853938     0.32745076      25.094913     0.30285288      30.621472     0.59163547
              1      35.053026     0.36671053      31.845724     0.35009046      38.479678      0.6662025
            1.2      42.664668     0.39755079      38.800995     0.36463555      46.362108     0.62614684
            1.4      52.440093     0.47357469      48.029858     0.47943313      57.062916     0.92053507
            1.6      64.926258     0.50278799      59.800305     0.49128832      69.657296     0.76494257
            1.8        82.0982     0.56022907      75.377025     0.52479058      88.594677     0.82044684
              2      105.80963     0.64432447      98.376871     0.64244799       114.8132      1.6456099
            2.2      139.37398     0.75323604      130.72706     0.76700691      147.84138      1.9175561
            2.4      188.13793     0.87056664      177.08313     0.93555889      198.20658      1.4809741
            2.6      258.69424      1.1767054      245.34281      1.2986031      270.50846      1.5770581
            2.8      348.41245      1.4847832      332.08911      1.3772622      362.91138      1.9339593
              3      396.53578      2.3771268      379.68427      1.7921237      411.52094      3.8392536
            3.2      206.34828     0.97483472      195.46576      1.0951435      216.19915      1.2226535
            3.4       122.8945     0.71280249      115.24784     0.68946763      130.12504      1.0061564
            3.6      79.873705     0.56668529       74.17591     0.53763455      85.387958     0.77504547
            3.8      54.008436      0.4615355      50.014965     0.44379999      59.004206      0.9859777
              4      37.509054     0.42069764      34.529791     0.44501079      40.802902     0.47638766
            4.2      25.975531     0.42431796      23.912581     0.49395428      27.962826     0.40165161
            4.4      19.107436     0.28584347      17.335914     0.26443578      21.111742     0.34305553
            4.6      13.613489     0.30112328      12.221174     0.30060179      15.258162     0.31623143
            4.8      9.5132042       0.187978      8.5570121     0.16797313       10.61275     0.23867683
              5      9.5132042       0.187978      8.5570121     0.16797313       10.61275     0.23867683
