# R_etattbarHig        central        num_err    min (scale)        num_err    max (scale)        num_err
# gs
              0              0              0              0              0              0              0
            0.2              0              0              0              0              0              0
            0.4              0              0              0              0              0              0
            0.6              0              0              0              0              0              0
            0.8              0              0              0              0              0              0
              1              0              0              0              0              0              0
            1.2              0              0              0              0              0              0
            1.4              0              0              0              0              0              0
            1.6              0              0              0              0              0              0
            1.8              0              0              0              0              0              0
              2              0              0              0              0              0              0
            2.2              0              0              0              0              0              0
            2.4              0              0              0              0              0              0
            2.6              0              0              0              0              0              0
            2.8              0              0              0              0              0              0
              3      75.867272    0.043735969      69.223152    0.044126974      82.511392    0.044858635
            3.2      85.106232    0.046373882       78.20959    0.046552211      92.002873    0.047604836
            3.4      43.707469    0.035351913      40.542424    0.035605275      46.872515    0.037341353
            3.6      25.214896    0.027206974      23.561214    0.026560675      26.868579    0.028443251
            3.8      15.186356    0.021479731      14.280532    0.021019249      16.092179    0.022272972
              4      9.5405118    0.017089903      9.0125568    0.016764118      10.068467    0.017705512
            4.2      6.2595907     0.01378524      5.9387494    0.013418004      6.5804321    0.014291418
            4.4      4.2518773    0.011387495      4.0450454    0.011161488      4.4587089    0.011731142
            4.6      2.9836413    0.009864921      2.8456934   0.0097178787      3.1215892    0.010163418
            4.8      2.1537113   0.0080234223      2.0607068   0.0078368036      2.2467155   0.0082948614
              5      2.1537113   0.0080234223      2.0607068   0.0078368036      2.2467155   0.0082948614
