#      etaHiggs        central        num_err    min (scale)        num_err    max (scale)        num_err
             -4     0.37488402   0.0036626583     0.35815252   0.0035656684     0.39161546   0.0037794086
           -3.8     0.54756293   0.0044437795     0.52172949   0.0043293406     0.57339643   0.0045828558
           -3.6     0.80863058   0.0057353137     0.76939834    0.005582341     0.84786281   0.0059281982
           -3.4      1.1507598   0.0067116759      1.0894906   0.0068815963      1.2120289   0.0067258375
           -3.2      1.6142048   0.0076470816      1.5269743   0.0073922711       1.701435   0.0080169994
             -3      2.2340362   0.0087264994      2.1087651    0.008499984      2.3593071   0.0090478961
           -2.8      3.0126332     0.01008331      2.8376805    0.009827568      3.1875859    0.010450222
           -2.6      3.9656078    0.011590031      3.7208761     0.01140484      4.2103395    0.012009792
           -2.4      5.0821597    0.013462507      4.7548266    0.013170751      5.4094932    0.013958046
           -2.2      6.3276168    0.014335824      5.9057974    0.014088089      6.7494361     0.01484248
             -2      7.6377164    0.015558101       7.112352    0.015270469      8.1630811    0.016179771
           -1.8      8.9069454    0.016827806      8.2656561    0.016534372      9.5482343    0.017558403
           -1.6      10.033669    0.017579267      9.2888579    0.019169585       10.77848    0.019272712
           -1.4      11.073025    0.018298897      10.232471    0.017898832      11.913578    0.019111703
           -1.2      11.809412    0.018818074      10.890179    0.018552737      12.728644    0.019608513
             -1      12.343668    0.019185763      11.369701     0.01888612      13.317636      0.0199089
           -0.8      12.604379    0.019525509      11.579557    0.019373621      13.629201    0.020283225
           -0.6      12.767692     0.01923282      11.719065    0.018721714      13.816319    0.020145182
           -0.4      12.756823    0.019527295      11.697979    0.019009379      13.815668    0.020426747
           -0.2      12.759214    0.019226616      11.690685    0.018747237      13.827742    0.020175173
              0      12.715602    0.019800664      11.641446    0.019954593      13.789759    0.020299281
            0.2      12.758172    0.019522404      11.695477    0.019295387      13.820866    0.020234076
            0.4      12.757511    0.020134116      11.706093    0.020303311       13.80893    0.020545521
            0.6       12.61215    0.019212538      11.592909    0.018769859      13.631391    0.020043557
            0.8       12.33322    0.019133798      11.348739    0.018765548        13.3177      0.0199391
              1      11.766683      0.0189728       10.84869    0.018633156      12.684675    0.019798651
            1.2      11.061181     0.01826604      10.224422    0.017925986      11.897941    0.018986793
            1.4      10.037854     0.01751032      9.2969438    0.017190693      10.778763    0.018311695
            1.6      8.8694255     0.01671067      8.2346119    0.016467623      9.5042389    0.017305601
            1.8      7.6228587    0.015587534      7.0934742    0.015328962      8.1522432    0.016186344
              2      6.3414811    0.014172611       5.920944    0.013768465      6.7620181     0.01480887
            2.2      5.0726217    0.013191502      4.7444918    0.013118972      5.4007509    0.013552023
            2.4       3.970552    0.011968354      3.7260535    0.011673023      4.2150505    0.012695067
            2.6      3.0203398    0.010195947      2.8427019   0.0099552068      3.1979775    0.010574412
            2.8      2.2241429   0.0088952381      2.0991716   0.0087882682      2.3491143    0.009113995
              3      1.6088211   0.0081801162      1.5221632   0.0082497074      1.6954789   0.0082373117
            3.2      1.1412097   0.0063266588      1.0829768   0.0061572735      1.1994426     0.00654353
            3.4     0.80216498   0.0054523751     0.76241311   0.0052847935     0.84191682   0.0056729679
            3.6     0.55427415   0.0044342463     0.52777138   0.0043099676     0.58077689     0.00460408
            3.8     0.38138307   0.0037278668     0.36407853   0.0036348852     0.39868764   0.0038404498
              4     0.38138307   0.0037278668     0.36407853   0.0036348852     0.39868764   0.0038404498
