# deta2l-ptHcut        central        num_err    min (scale)        num_err    max (scale)        num_err
# 50
              0     0.17915215   0.0031125001     0.17705603   0.0030760758     0.18257167   0.0031726478
     0.31415927     0.18351905   0.0031518819     0.18141544   0.0031157967     0.18693105   0.0032111379
     0.62831853     0.18835814    0.003192769     0.18623789   0.0031569522     0.19184295   0.0032522144
      0.9424778     0.20191767   0.0033024883     0.19970429   0.0032663041     0.20546514   0.0033611001
      1.2566371     0.21723676   0.0034304116     0.21493985   0.0033943341     0.22096866     0.00348957
      1.5707963     0.24652891   0.0036479378      0.2440041    0.003610785     0.25062054   0.0037088571
      1.8849556     0.26945744   0.0038149891     0.26679294   0.0037773364     0.27378332   0.0038767484
      2.1991149     0.29364447   0.0039856401     0.29090754   0.0039486962     0.29809945   0.0040464308
      2.5132741     0.30916307   0.0040892139      0.3063457    0.004052146     0.31380884   0.0041509623
      2.8274334     0.32379422   0.0041876779     0.32095137   0.0041512807     0.32856314   0.0042493868
      3.1415927     0.32379422   0.0041876779     0.32095137   0.0041512807     0.32856314   0.0042493868
