# deta2l-ptHcut        central        num_err    min (scale)        num_err    max (scale)        num_err
# 100
              0     0.48712868   0.0051039994     0.47973661   0.0050266483     0.49910424   0.0052308906
     0.31415927     0.49940511   0.0051703191     0.49182348    0.005091953     0.51172621   0.0052992022
     0.62831853     0.52715791   0.0053114164     0.51938982     0.00523363     0.53980693   0.0054393847
      0.9424778      0.5594644   0.0054700076     0.55135989    0.005390837     0.57252526   0.0055990188
      1.2566371     0.61273251    0.005726474     0.60401809   0.0056454297     0.62671802    0.005857913
      1.5707963     0.67505251   0.0060002831     0.66586919   0.0059189094     0.68977388   0.0061322246
      1.8849556     0.75392583   0.0063408081     0.74391897   0.0062573127     0.76979349   0.0064746767
      2.1991149     0.80675757   0.0065575539     0.79659347   0.0064752633     0.82304719   0.0066909185
      2.5132741     0.86652195   0.0067941491     0.85586577   0.0067114286     0.88378296   0.0069297139
      2.8274334     0.91783802   0.0069886988     0.90687641   0.0069057575     0.93560004   0.0071246033
      3.1415927     0.91783802   0.0069886988     0.90687641   0.0069057575     0.93560004   0.0071246033
