#         yhlep        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      2.9858609    0.015483753      2.9312267    0.015203025       3.060874    0.015873295
            0.2      2.8974403    0.015266757      2.8442107    0.014988918      2.9710774    0.015655734
            0.4      2.7444564    0.014887685      2.6939064    0.014616071      2.8140613    0.015265997
            0.6      2.5294987    0.014327633      2.4827006    0.014065702      2.5938381    0.014692311
            0.8      2.2538559    0.013572934      2.2119988    0.013324403      2.3119574    0.013921422
              1      1.9641623    0.012713336      1.9278523    0.012480287      2.0147226    0.013041466
            1.2       1.658424    0.011723222       1.627685    0.011507444      1.7013393    0.012027653
            1.4      1.3309356    0.010547397       1.306112    0.010352971      1.3655597    0.010821955
            1.6      1.0190562   0.0092587038     0.99970469   0.0090846168      1.0462048   0.0095057443
            1.8     0.78280296   0.0081531436      0.7678999   0.0079998133     0.80373609   0.0083710076
              2     0.78280296   0.0081531436      0.7678999   0.0079998133     0.80373609   0.0083710076
