#            yH        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      3.2961506    0.018911953      3.2322636    0.018549743      3.3812867    0.019400576
           0.15      3.2297754    0.018730672      3.1672647    0.018372114      3.3138227    0.019218523
            0.3       3.121194    0.018425169      3.0610599     0.01807442      3.2020051    0.018901995
           0.45      2.9298629    0.017881934      2.8738586    0.017544309      3.0052546    0.018341973
            0.6      2.7422042    0.017327118       2.689936    0.017000452      2.8131731    0.017776086
           0.75      2.4539555    0.016433161      2.4075699    0.016125409      2.5177716    0.016860381
            0.9      2.0268678    0.010420176      1.9895355    0.010230573      2.0790911    0.010688553
            1.2      1.3559305   0.0074085636      1.3319619   0.0072787074      1.3904725   0.0075978618
            1.6     0.69000267   0.0053596254     0.67844903    0.005270282     0.70764515   0.0054972799
              2     0.25064637    0.002907611     0.24684801   0.0028635636     0.25688345   0.0029804817
            2.5     0.25064637    0.002907611     0.24684801   0.0028635636     0.25688345   0.0029804817
