#deta2l-mcut200        central        num_err    min (scale)        num_err    max (scale)        num_err
              0     0.18244147   0.0031444537     0.17745266   0.0030591995     0.18905228   0.0032580575
     0.31415927     0.21580884   0.0034180032     0.21005531   0.0033278853     0.22350673   0.0035396291
     0.62831853     0.27630436   0.0038625495     0.26935718   0.0037663625     0.28546216   0.0039904017
      0.9424778     0.42061221   0.0047569562     0.41102941   0.0046495284     0.43323377   0.0048998961
      1.2566371     0.62667895   0.0057883824     0.61377579   0.0056705032     0.64377274   0.0059462474
      1.5707963     0.85103221   0.0067205221     0.83493625   0.0065944931     0.87286808   0.0068931847
      1.8849556      1.0151699   0.0073268765     0.99706525   0.0071980434      1.0400784   0.0075063053
      2.1991149       1.090816   0.0075838557      1.0719563   0.0074540169      1.1171828   0.0077674138
      2.5132741      1.0932756   0.0075945806      1.0747304   0.0074667311      1.1194668    0.007776948
      2.8274334      1.1011854   0.0076211679      1.0826783   0.0074937297      1.1274826   0.0078040265
      3.1415927      1.1011854   0.0076211679      1.0826783   0.0074937297      1.1274826   0.0078040265
