#        ptslep        central        num_err    min (scale)        num_err    max (scale)        num_err
             10    0.054831092  0.00017924545    0.053793792  0.00017588857    0.056314976  0.00018411176
             35     0.04612138  0.00014992491    0.045246897  0.00014710534    0.047379986  0.00015403188
             65    0.025819725  0.00012853312    0.025335927  0.00012615076    0.026480782  0.00013182767
             90    0.011255912  6.0406511e-05    0.011053915  5.9338163e-05    0.011513739  6.1784652e-05
            140   0.0032961131  3.0511234e-05   0.0032413305  3.0015014e-05   0.0033602915  3.1098052e-05
            200    0.000715484  1.1117735e-05  0.00070500588  1.0958297e-05  0.00072666138  1.1289345e-05
            300    0.000715484  1.1117735e-05  0.00070500588  1.0958297e-05  0.00072666138  1.1289345e-05
