#           m2l        central        num_err    min (scale)        num_err    max (scale)        num_err
              0   0.0057185917  6.9318213e-05   0.0056132158  6.8044658e-05   0.0058746347  7.1226892e-05
             20    0.015851999  0.00011416493    0.015560707  0.00011207096    0.016287258  0.00011732723
             40    0.024267727   0.0001401031    0.023805833  0.00013745846    0.024951906  0.00014406479
             60    0.028814451  0.00015194424    0.028263216  0.00014904618    0.029620786   0.0001562293
             80    0.027919647  0.00014991883    0.027383156  0.00014705696     0.02869214  0.00015408645
            100    0.024073355   0.0001399739    0.023609978  0.00013731061    0.024722371  0.00014374945
            120    0.018530742   9.995418e-05    0.018178575  9.8072391e-05    0.019007022  0.00010252621
            150    0.011270728  6.0475305e-05    0.011063352  5.9376637e-05    0.011539673  6.1914854e-05
            200   0.0055984353  4.3380843e-05   0.0055001959  4.2630229e-05   0.0057198268  4.4319871e-05
            250   0.0028679277  3.1360968e-05   0.0028208325  3.0855856e-05   0.0029241589  3.1969163e-05
            300   0.0011625244   1.420435e-05   0.0011446222  1.3995617e-05   0.0011826607  1.4443352e-05
            400  0.00035725685  7.9476116e-06  0.00035251362  7.8473255e-06   0.0003622921  8.0554906e-06
            500  0.00035725685  7.9476116e-06  0.00035251362  7.8473255e-06   0.0003622921  8.0554906e-06
