# deta2l-ptHcut        central        num_err    min (scale)        num_err    max (scale)        num_err
# 20
              0    0.032774928   0.0013338644    0.032488484   0.0013222173    0.033222411   0.0013522584
     0.31415927     0.03442095    0.001365519     0.03410387   0.0013529567    0.034898592   0.0013846737
     0.62831853    0.036482287   0.0014057861    0.036174668   0.0013939517    0.036960414    0.001424418
      0.9424778    0.034723959   0.0013722079     0.03442575   0.0013604126    0.035164003   0.0013897563
      1.2566371    0.041066613   0.0014919589    0.040734175   0.0014799182    0.041562519    0.001510074
      1.5707963    0.047853049   0.0016095185    0.047475443   0.0015968651    0.048428695   0.0016290076
      1.8849556    0.050278173   0.0016512987    0.049902432   0.0016390068    0.050850491   0.0016702077
      2.1991149    0.054484764   0.0017218554    0.054118108   0.0017103551    0.055058116    0.001740027
      2.5132741    0.055279226   0.0017336884    0.054911733    0.001722219    0.055853811   0.0017517953
      2.8274334    0.054506995   0.0017217773    0.054168247   0.0017111364    0.055052406   0.0017390937
      3.1415927    0.054506995   0.0017217773    0.054168247   0.0017111364    0.055052406   0.0017390937
