#      R_yttbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0     0.58412463   0.0070773495     0.41682403    0.007899043     0.75142505    0.007039944
            0.2      1.2720919    0.012109169     0.66039353    0.014081118      1.8837902    0.012367633
            0.4      1.7479733    0.016721265     0.63254527    0.020723505      2.8634005    0.016572345
            0.6      2.1410475    0.017988908     0.50369935    0.023635724      3.7783954    0.018660282
            0.8      2.6028582    0.019768913      0.5037598    0.026305549      4.7019562     0.02112836
              1       3.154743    0.031645742     0.62766922    0.045277465      5.6818165    0.029186875
            1.2      3.9892534    0.022564471      1.1422965    0.032316157      6.8362102    0.023775144
            1.4      5.3605254    0.027279945      2.1468099    0.032587183      8.5742411    0.034921434
            1.6      7.1994454    0.031087356      3.6474123    0.041279841      10.751478     0.03250419
            1.8      10.106883    0.036051793      6.1458565    0.049659372       14.06791    0.034417821
              2      14.698948     0.03433975      10.169214    0.044554153      19.228683    0.041870365
            2.2      22.152783    0.043407153      16.967356    0.058599629      27.338206     0.05396145
            2.4      34.310186    0.050051609      28.227664    0.062340755      40.392709     0.05820536
            2.6      54.164684    0.056529608      46.968854     0.07940448      61.360518    0.065184509
            2.8      84.170122    0.063460636       75.93117    0.073314151      92.409075    0.070169635
              3      104.48304    0.066846119      95.947811    0.072577519      113.01826     0.08008272
            3.2      37.451102    0.049069436      33.627244    0.052230066       41.27496    0.055540018
            3.4      14.647392    0.040333068       13.02558    0.038080982      16.269205    0.045184551
            3.6      6.4350713    0.030282099      5.7277001     0.02879025      7.1424426    0.033693448
            3.8      2.9688033    0.020734386       2.645035    0.020744793       3.292572    0.021648006
              4      1.4164104    0.017702918      1.2527125    0.017139935      1.5801081    0.018875518
            4.2     0.67221972   0.0094679229     0.59407244   0.0098588137     0.75036734   0.0095280973
            4.4     0.31613168   0.0062459583     0.27392194   0.0066139568      0.3583411    0.006155917
            4.6     0.15204893   0.0049795308     0.12909951   0.0053277428     0.17499834   0.0048336282
            4.8      0.0648518   0.0024464387    0.053695102   0.0026951409    0.076008494   0.0023346883
              5      0.0648518   0.0024464387    0.053695102   0.0026951409    0.076008494   0.0023346883
