# R_etaHiggstop        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      2.5830404    0.011624386      2.4410034    0.012157883      2.7250775    0.012389517
            0.2      7.2381524    0.019953043      6.7926619    0.021629643       7.683643    0.021706614
            0.4      11.057616     0.02817584      10.312164    0.031219346      11.803068    0.034259727
            0.6      13.869218    0.026981043      12.855226    0.028551779       14.88321    0.031659642
            0.8      16.084319    0.028453918      14.794913    0.030507875      17.373725    0.031582494
              1      17.778028    0.029975803      16.203852    0.032196237      19.352204    0.033459858
            1.2      19.335787    0.033527214      17.441378    0.035591532      21.230195    0.040871713
            1.4      20.799565    0.033560521      18.601715    0.036760902      22.997414    0.038546247
            1.6      22.510991    0.040219799      19.825446    0.061853315      25.196537    0.048842452
            1.8      24.384899    0.036742791      21.278971    0.043037165      27.490827    0.044035481
              2      26.959498     0.04014891      23.250879    0.041927036      30.668117    0.048970773
            2.2      30.107428    0.042907632      25.631067    0.043047743       34.58379     0.05826083
            2.4      34.043212    0.042059992      28.581462     0.04270689      39.504959    0.053711858
            2.6      38.642604    0.048903916      31.744669    0.057914068      45.540538    0.057875406
            2.8      43.222125     0.04788417      34.475305    0.054257277      51.968944     0.05811273
              3      41.890803    0.062800616      31.778669    0.082747154      52.002937    0.061206369
            3.2      19.289205    0.045650145      14.302877    0.059116325      24.275533    0.043030452
            3.4      10.288931    0.035082708      7.4285858    0.046017644      13.149276    0.039731414
            3.6      6.0208412    0.030409843      4.2067128    0.041512416       7.834969     0.02702587
            3.8      3.6859527    0.024092023      2.4600314    0.035021256      4.9118738    0.026455411
              4      2.3425325     0.02458574      1.5001616    0.031772862      3.1849027    0.022564481
            4.2      1.4706575    0.022226554     0.88070457    0.027191181      2.0606112    0.020208613
            4.4     0.97061815    0.014386828     0.55521507    0.017477117      1.3860218    0.013847104
            4.6     0.60354365    0.011989069     0.29457542    0.015954349     0.91251214    0.011165068
            4.8     0.38237118    0.019867159     0.15873463    0.023277769     0.60600866    0.018043802
              5     0.38237118    0.019867159     0.15873463    0.023277769     0.60600866    0.018043802
