#  dphiHiggstop        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      19.749502    0.035857992      17.945419    0.041257046      21.553584    0.040711621
            0.2      19.422078     0.03507239      17.599555    0.040662414      21.244601    0.035968115
            0.4      19.220593    0.039160398      17.300647    0.044788088       21.14054    0.044242524
            0.6      19.014538    0.038647067      17.026992    0.049385692      21.002085    0.037162868
            0.8      19.131491    0.037780542      17.018655    0.056768242      21.244328    0.044969517
              1      19.473522     0.03615837      17.222454    0.042741667      21.724591    0.037846184
            1.2      20.223091    0.036039376      17.772955    0.040561876      22.673226    0.039519071
            1.4      21.358076    0.036763154      18.564043    0.042716465       24.15211    0.043538267
            1.6      22.945554    0.035347055       19.78767    0.039751338      26.103437    0.045407394
            1.8      25.126038    0.037884482      21.430589    0.040673294      28.821486    0.047501737
              2      27.980662    0.042338466      23.543582    0.043156198      32.417741    0.055841367
            2.2      31.593739    0.044454517       26.29926    0.043238789      36.888219     0.05761669
            2.4      35.849352    0.049182553      29.292594    0.057814128       42.40611    0.057303236
            2.6       40.71451    0.046822491       32.46904    0.052774713      48.959976    0.059132237
            2.8      44.161243    0.053821187      33.602285    0.070143669      54.720201    0.057782021
              3      30.348712    0.071117918      21.131878    0.095490687      39.565545     0.06453111
            3.2      30.348712    0.071117918      21.131878    0.095490687      39.565545     0.06453111
