# R_etattbarHig        central        num_err    min (scale)        num_err    max (scale)        num_err
# gs
              0              0              0              0              0              0              0
            0.2              0              0              0              0              0              0
            0.4              0              0              0              0              0              0
            0.6              0              0              0              0              0              0
            0.8              0              0              0              0              0              0
              1              0              0              0              0              0              0
            1.2              0              0              0              0              0              0
            1.4              0              0              0              0              0              0
            1.6              0              0              0              0              0              0
            1.8              0              0              0              0              0              0
              2              0              0              0              0              0              0
            2.2              0              0              0              0              0              0
            2.4              0              0              0              0              0              0
            2.6              0              0              0              0              0              0
            2.8              0              0              0              0              0              0
              3      114.68697     0.09066141      94.010773     0.11324355      135.36318    0.096936546
            3.2      129.24455    0.088306964      106.89737     0.10651677      151.59173     0.10032743
            3.4      65.423144    0.062377956      54.850116    0.072476495      75.996171    0.077409295
            3.6       37.21771    0.051748777      31.521035    0.071553343      42.914385    0.062048195
            3.8      22.220244    0.038551522      19.080218    0.045476521      25.360269    0.041858897
              4       13.91996    0.033811455      12.025963    0.043063412      15.813956    0.033415342
            4.2      9.2100546    0.025152679      8.0366499    0.028674109      10.383458    0.027358453
            4.4       6.281478    0.021763213      5.5009579    0.025244019       7.061998    0.022935221
            4.6      4.4537297    0.021053338      3.9008756    0.024746702      5.0065852    0.023989858
            4.8      3.2219695    0.016366649      2.8583586    0.018126474      3.5855801    0.017171129
              5      3.2219695    0.016366649      2.8583586    0.018126474      3.5855801    0.017171129
