# R_etaHiggstop        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      13.363258     0.19929624      12.388904     0.17604927      14.198588     0.27186076
            0.2      38.835687     0.34494374      36.108979     0.30715573      41.077794     0.46344262
            0.4      60.174094     0.43375354       56.24812      0.4228622      63.399357     0.58653765
            0.6      76.630213      0.4820826      71.532589     0.43855873      81.271478     0.65757652
            0.8      89.921672     0.77229227      84.553635     0.76583245      95.762449      1.2177819
              1      100.74359     0.59926798      94.169515     0.56037213      107.69345      1.2527948
            1.2      108.36498     0.58286229      101.73824     0.53043742       114.2811     0.78716559
            1.4      118.89239     0.60718951      111.47557     0.55894316      125.57279     0.82713343
            1.6      127.97192     0.64586807       120.4912     0.64966357       134.3229     0.89108917
            1.8       139.5372     0.67518453      130.74441     0.60331875      147.12982     0.90301649
              2      152.41353     0.70160019      143.29383     0.73794994      159.89187     0.97467073
            2.2      171.22949     0.85388953      161.67514     0.81819186      179.61199      1.1653584
            2.4      190.56837       1.005659      178.97671     0.76733518      200.70321      1.0949081
            2.6      217.73436     0.86125184      206.13652     0.82631324      228.34646       1.211985
            2.8      245.30301     0.90348709      232.77227     0.88320216      256.52293      1.2598308
              3      250.92519     0.92834277      237.26394     0.87182265      264.52208      1.3122624
            3.2      122.71731     0.69531787      115.66143     0.72648325      129.50007     0.97405427
            3.4       70.73917     0.58486982      66.326699     0.52389055      74.940996     0.83835844
            3.6      43.792781      0.3861067        40.7949      0.3436868      46.679741     0.54044633
            3.8      29.239307     0.31400666      27.414385     0.35557253      30.586006      0.6685947
              4       19.92654     0.25888738       18.53252     0.23173765      21.332693      0.3612889
            4.2      13.713771     0.23846887      12.573479     0.20832881      14.931225     0.33217438
            4.4      9.2063379     0.17569394      8.5253971     0.16302735      9.8912473     0.24205233
            4.6       6.578864     0.14767901      6.0521382     0.13324015       7.149383     0.20645311
            4.8      4.7226017     0.12358847      4.2836656     0.10819273      5.2645622     0.17263204
              5      4.7226017     0.12358847      4.2836656     0.10819273      5.2645622     0.17263204
