#   R_yHiggstop        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      20.931325     0.25855641       19.50159     0.25487378      22.361762     0.34231646
            0.2       58.43984     0.41858443      54.261209     0.37722692      62.355317     0.57552557
            0.4      85.937454     0.51356059      80.331587     0.48005376      90.542404     0.70526592
            0.6      104.39353     0.56417403       98.21493     0.74230311      110.42862     0.77259606
            0.8      117.48493     0.82933018       109.8569     0.62768904      124.97714      1.2782248
              1       121.7023     0.65654007      114.01576     0.61221192      129.37047      1.3097842
            1.2      126.40708     0.62874084      118.23156     0.58409635      134.04009     0.85772799
            1.4      131.20263     0.65158071      123.23401     0.60950301       138.0064     0.90024999
            1.6      138.38055     0.66429286       130.1565     0.64894653      145.79647     0.90573697
            1.8      145.36495     0.67054601      135.87725     0.69406131      153.49979      0.9293526
              2      158.26247     0.74110728      148.77741     0.68104457      166.41716     0.98395099
            2.2      175.43103     0.92943648      164.88141      0.7366538      183.88156       1.044861
            2.4      194.55768     0.88638471      183.49371     0.80042566       204.8765      1.2457424
            2.6      220.69549     0.92406619      209.10861     0.85976421      231.44694      1.2158744
            2.8      247.87738     0.96468163      235.04598     0.92210016      259.78457      1.3449199
              3      244.23506     0.94917536      231.12726     0.96874807      257.08541       1.338383
            3.2      82.354625     0.55412941      77.708309     0.54677552      86.479962     0.95728426
            3.4      31.962993      0.3323347      29.803913     0.29541463      33.920575     0.46602754
            3.6      14.997064     0.23280451      13.847953     0.21703704       16.17947     0.31586671
            3.8       6.677451     0.15430785       6.056094     0.13823612      7.3992537     0.21430748
              4      3.4409761      0.1062276      3.0763652    0.092046059      3.8940052     0.15647348
            4.2      1.6435571    0.076086791      1.4709896    0.065713091      1.8291848     0.10722653
            4.4     0.67342428    0.052197047     0.59807115     0.03978614     0.75202769    0.086562205
            4.6     0.36770127    0.035981035     0.33840012    0.037707136     0.37614781    0.052090544
            4.8     0.19021773    0.034455617      0.1733232    0.038385898     0.20522686    0.037965539
              5     0.19021773    0.034455617      0.1733232    0.038385898     0.20522686    0.037965539
