# dphiHiggstbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      116.42794     0.79976247      107.80662     0.61054776      124.62993      1.2772224
            0.2       115.1803     0.59760187      107.25335     0.53152826      122.27055     0.81803638
            0.4      114.31664     0.58611661      106.28261     0.52277532      121.85826     0.79719195
            0.6      112.69879     0.59087174      105.14236     0.54955064       119.2916     0.79762669
            0.8      113.46355     0.58510634      105.86729     0.52905665      120.10206     0.80715729
              1       115.3436     0.65890576      108.64202     0.78858333      120.71405     0.88209778
            1.2      118.65089     0.67993955       111.1635     0.58963429      125.71568      0.8293175
            1.4      124.41805     0.68150356      116.79587     0.62379947      131.16303     0.93645768
            1.6      133.07249     0.64260734      124.83387     0.58735786      140.67376     0.88804239
            1.8      144.02804     0.67701476      135.53543     0.64014335      151.93616     0.92915828
              2      159.15926     0.82633667      150.47134     0.92041912      167.47727      1.1424052
            2.2      177.33261     0.78342168        167.287     0.77577507      186.22073      1.1279475
            2.4      204.03795      1.0034095      191.68507     0.78230051      214.89003       1.174782
            2.6      230.79585     0.91851991      218.76237     0.92122304      242.64545      1.5591212
            2.8      259.90261     0.95979985      246.52035     0.89867288      272.69196      1.3349421
              3      194.91633      0.8476184      185.25143     0.81991154      203.79321       1.321001
            3.2      194.91633      0.8476184      185.25143     0.81991154      203.79321       1.321001
