#    R_etattbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0     0.23894866   0.0041286796     0.16513539   0.0030023352     0.39298029   0.0062805148
            0.2     0.72978655   0.0065444805     0.51007532    0.004741966      1.0768312   0.0098100726
            0.4      1.2489312   0.0081228625     0.87802714   0.0058735528      1.8250124    0.011549764
            0.6      1.8358945   0.0094491621      1.2956283   0.0068182992      2.6727324    0.013463877
            0.8      2.4650255    0.010654994      1.7435505    0.007676614      3.5808645    0.015205877
              1      3.1938935    0.011895723      2.2627119     0.00856273      4.6324793     0.01699246
            1.2      4.1153063    0.013277918      2.9191122   0.0095489081      5.9618807    0.018985134
            1.4        5.38078    0.014924944      3.8211799    0.010722086      7.7864656    0.021363038
            1.6      7.0814703    0.016869693      5.0335312    0.012109182       10.23856    0.024167245
            1.8      9.6167182     0.01935834      6.8409691    0.013883285      13.893662    0.027757477
              2      13.441976     0.02252642      9.5696578    0.016143199      19.405523    0.032325342
            2.2      19.551108    0.026695633      13.927912    0.019118125       28.20751    0.038335084
            2.4      29.400387    0.032055108      20.954464    0.022941548      42.827519    0.063941978
            2.6      45.408073     0.03873191      32.376469    0.027705868      68.900842    0.071065699
            2.8      70.099973    0.046233805      49.991122    0.033057285      109.54372    0.088342363
              3      88.319222    0.050366049      62.955205    0.035984823      141.16264    0.090626988
            3.2      38.488839    0.035821814      27.310828    0.025487279       64.48913    0.070010745
            3.4      18.905218    0.025913669      13.350047    0.018365191      33.584925     0.05893756
            3.6      10.416936    0.019593478      7.3247967    0.013841001      19.611814     0.04819062
            3.8      6.0569424    0.015202397      4.2401519    0.010706394      12.024023    0.047281855
              4      3.6436672    0.012021105      2.5386041    0.008440585      7.5658675    0.041092503
            4.2      2.2893637   0.0097001504      1.5884091   0.0067930005      4.8166454     0.03827358
            4.4      1.4792812   0.0080392255      1.0218132   0.0056142687      3.0901003    0.047049297
            4.6     0.97008795   0.0068102676     0.66674299   0.0047438372      1.9614662    0.032482323
            4.8     0.65929456   0.0059029148     0.45078828   0.0040996246      1.2790713    0.018603019
              5     0.65929456   0.0059029148     0.45078828   0.0040996246      1.2790713    0.018603019
