#      R_yttbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0     0.50522157   0.0058739473     0.35078388   0.0042760085     0.83244561   0.0097724382
            0.2      1.4010216   0.0088344085     0.98353576   0.0064032659        2.04939    0.012527347
            0.4      2.2437795    0.010518166      1.5842148   0.0076003894      3.2642426    0.014961778
            0.6      3.0804516     0.01187592      2.1810174   0.0085623833       4.469667    0.016932439
            0.8      3.8809171    0.013044471       2.751233   0.0093902575      5.6248411    0.018629748
              1      4.7144221    0.014158575       3.344979    0.010181202      6.8278557    0.020245174
            1.2      5.6769207    0.015364186      4.0294567    0.011037191      8.2196119    0.021993546
            1.4        7.06051    0.016915929      5.0150476    0.012141484      10.216487     0.02423743
            1.6      8.9257669    0.018782381      6.3436319    0.013469408      12.908731    0.026936667
            1.8      11.681117    0.021209823       8.306235    0.015198293      16.885454    0.030442952
              2      15.851239    0.024359682      11.279341    0.017444793      22.898233    0.034986255
            2.2      22.584084    0.028565119       16.07974     0.02044232      32.605713    0.041055354
            2.4      33.193875    0.033913108      23.645807     0.02425787      49.441105    0.069446532
            2.6      50.333213    0.040534812      35.870893    0.028981726      78.012929    0.079309961
            2.8      75.865531    0.047722918      54.083005    0.034108792      121.21423    0.089680105
              3      91.777145    0.051094252       65.38104    0.036481423      150.61357    0.095112682
            3.2       29.54749    0.031778966      20.887328    0.022515581       54.44724    0.070871751
            3.4      10.185393    0.019412496      7.1281319    0.013625853      21.518413    0.058802961
            3.6      4.1187745    0.012840535      2.8525575   0.0089244636      9.5557229     0.04458031
            3.8      1.9070036   0.0091543484      1.3062229   0.0062970298      4.4573224    0.030996772
              4     0.96485302   0.0067739782     0.65380684   0.0046114519      2.1503602    0.026819564
            4.2     0.52973784   0.0051474572     0.35574336   0.0034685365      1.0307959    0.014515892
            4.4     0.31072024    0.003987843     0.20668664   0.0026594157      0.4896316   0.0097312909
            4.6     0.17804704   0.0032175585     0.11737501   0.0021236277     0.28068943   0.0050713297
            4.8    0.095450467   0.0023972333    0.062437157   0.0015710442     0.15182091   0.0038082395
              5    0.095450467   0.0023972333    0.062437157   0.0015710442     0.15182091   0.0038082395
