#    R_etattbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0     0.26559542   0.0044637743     0.19173091   0.0033004475     0.37789071   0.0061982308
            0.2     0.72878755   0.0083156692     0.52477174   0.0061871473      1.0396689    0.011464447
            0.4      1.1631825    0.010299409     0.83592882   0.0076621237      1.6627361    0.014204403
            0.6      1.5935206    0.011365246      1.1417851   0.0084458598      2.2848782    0.015693418
            0.8      2.0241847    0.012890621      1.4461709   0.0095780708      2.9110445    0.017807998
              1      2.5567334    0.015324209        1.82354    0.011387826      3.6833946    0.021166698
            1.2      3.3364994    0.018684828      2.3796956    0.014227827      4.8069608    0.025148787
            1.4      4.4237564    0.023576434      3.1523823    0.017707452       6.379257    0.032192564
            1.6      5.9735747    0.027708672      4.2558309    0.020653966      8.6163483    0.038122227
            1.8      8.4434307    0.026071505       6.016767    0.019328932      12.176587    0.036112917
              2      12.388971    0.027963062      8.8344354     0.02059482      17.854738    0.039012978
            2.2      18.888778    0.039929668      13.476038    0.029373814      27.209295    0.055757876
            2.4       29.74357    0.046032518      21.230039     0.03406127      42.827519    0.063941978
            2.6      47.872269    0.050552001      34.186156    0.036975708      68.900842    0.071065699
            2.8       76.10617    0.063075397      54.349384    0.046345055      109.54372    0.088342363
              3      97.995958    0.063944405      69.937277    0.046426802      141.16264    0.090626988
            3.2      44.512394    0.049226108      31.607556    0.035636713       64.48913    0.070010745
            3.4      23.036394    0.041559321      16.267445     0.03018784      33.584925     0.05893756
            3.6      13.376396    0.033744452      9.3989889      0.0243631      19.611814     0.04819062
            3.8      8.1512585    0.033166839      5.6962588     0.02397781      12.024023    0.047281855
              4      5.0982245    0.028502286      3.5434389    0.020401155      7.5658675    0.041092503
            4.2       3.227946    0.026378764      2.2324861    0.018767565      4.8166454     0.03827358
            4.4      2.0577203    0.032514202      1.4147472    0.023182499      3.0901003    0.047049297
            4.6      1.2975241     0.02244952     0.88657202    0.016027647      1.9614662    0.032482323
            4.8     0.83722534      0.0194792     0.56781725    0.013906562      1.2754049    0.028223971
              5     0.83722534      0.0194792     0.56781725    0.013906562      1.2754049    0.028223971
