#  detaHiggstop        central        num_err    min (scale)        num_err    max (scale)        num_err
             -4     0.36514545   0.0092457073     0.25236944   0.0067127755     0.54457961    0.013135084
           -3.8     0.50866236    0.012411491     0.35218287   0.0091169427     0.75711204    0.017409884
           -3.6     0.70138041     0.01022091     0.48706534   0.0074538855       1.040896    0.014463444
           -3.4      0.9564961    0.013452935     0.66593795   0.0097551522      1.4155242    0.019139197
           -3.2      1.3201311    0.013643565     0.92231915   0.0099026257      1.9466707    0.019375136
             -3      1.7741815    0.023089565      1.2417233    0.016853561      2.6108758    0.032620307
           -2.8      2.3627281    0.017354597      1.6598087    0.012727243      3.4634433    0.024359515
           -2.6       3.167839    0.018178192      2.2292434    0.013090905      4.6348894    0.026037092
           -2.4      4.1738035    0.019349227      2.9434397     0.01403664      6.0922211    0.027490424
           -2.2      5.3988508    0.021243581      3.8150575    0.015494104      7.8629152    0.029987552
             -2      6.9979301    0.022654257      4.9537129    0.016428563       10.17202    0.032174138
           -1.8      8.9279549    0.031615352      6.3308348    0.023251294      12.952909    0.044226969
           -1.6       11.16111    0.030095547      7.9263405    0.022566402      16.165145    0.041383687
           -1.4      13.820035      0.0286262      9.8303352    0.020783453      19.981043    0.040579496
           -1.2      16.846637    0.033373035      11.998371    0.024514096      24.322866    0.046774928
             -1      19.964013    0.033253394      14.230522    0.024075621      28.796567    0.047275179
           -0.8      23.194337     0.03804453       16.54567     0.02794147      33.428019    0.053333633
           -0.6      26.048982    0.039718065      18.590235    0.028988522      37.523536    0.056006517
           -0.4      28.348921    0.043421013      20.236526    0.031706067      40.825319    0.061160421
           -0.2      29.645018    0.039894202      21.164914    0.028926085      42.684553    0.056631055
              0      29.683953    0.040080829      21.193916    0.029131989      42.738183    0.056751241
            0.2       28.40235    0.043194844      20.275368    0.031405052      40.900516    0.061157707
            0.4      26.177388    0.038640014      18.682673    0.028051294      37.706662    0.054781652
            0.6      23.208205    0.037250665      16.555913    0.027136929      33.446749    0.052611469
            0.8      20.045595    0.040132586      14.287288     0.02925067      28.916644    0.056629178
              1      16.986628    0.032550649      12.097886    0.023637618      24.524809    0.046134468
            1.2      13.999014    0.030595847      9.9581176    0.022270477      20.238443    0.043263055
            1.4      11.411173    0.026578199      8.1069268    0.019281884      16.520648    0.037723821
            1.6      9.1024515    0.024431498      6.4555363    0.017664068      13.203339    0.034798493
            1.8      7.2374088    0.022921755      5.1257385    0.016639722      10.514315    0.032514063
              2      5.6196114    0.021790259      3.9710862    0.015896125      8.1839424    0.030749674
            2.2      4.4027003    0.022305746      3.1049648    0.016386328       6.425944    0.031252764
            2.4      3.3756943    0.018460289      2.3752908    0.013437024      4.9392457    0.026115837
            2.6      2.5978861    0.016143897      1.8249609    0.011671494      3.8081299    0.023017396
            2.8      1.9733207    0.016295013      1.3825589    0.011699629      2.9010297    0.023409844
              3      1.4525125    0.015945232      1.0143939    0.011676432      2.1426987    0.022422138
            3.2      1.1057537    0.011997815     0.77030655   0.0087042615      1.6356577     0.01706007
            3.4     0.81891363    0.010557383     0.56900771    0.007610826      1.2148061    0.015125806
            3.6      0.6190417     0.01420108     0.42988293    0.010269292     0.91902255    0.020209376
            3.8     0.42732679   0.0096045753     0.29411345   0.0070351931     0.64013208    0.013528102
              4     0.42732679   0.0096045753     0.29411345   0.0070351931     0.64013208    0.013528102
