#R_etaHiggstbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      14.100466     0.32092073      12.957718     0.29228262       15.16261     0.40746669
            0.2      39.038477     0.54171535      36.223335     0.49906687      42.730774      1.0359477
            0.4      59.113161     0.66544047      54.739254     0.60790412      63.756122     0.93471503
            0.6      76.072947     0.76560571      70.956574     0.73014161      80.272018      0.9619852
            0.8      89.211344      0.8190853       82.98669     0.74955333       95.30709      1.0556482
              1      99.733216     0.87456651       92.89185      0.8183941      106.60688      1.1400798
            1.2      108.16204     0.90369338      100.80344     0.83403248      115.49121      1.2917653
            1.4      115.80959      1.1751173       109.5453      1.3630948      123.89015      1.9375141
            1.6       126.3238     0.98346777      118.07965     0.90921359      134.00785      1.3110049
            1.8      136.14554      1.0272248      127.55979     0.96660389      145.24267      1.4147259
              2      149.48978      1.1274914       140.1926      1.1381241      158.66641      1.4666439
            2.2      166.52435      1.3339526        156.948      1.1808815      176.80555      2.2137527
            2.4      187.81763      1.3077405      176.85953      1.3504869      198.49043      1.7968902
            2.6      213.07529      1.3228837      200.35186      1.2315718      226.53834      2.0198875
            2.8       238.5061      1.8331446       226.6978      2.1345963      251.02444      2.8803998
              3      246.06784      2.1449877      231.98295      1.8003785      260.11197      5.3320859
            3.2      117.97591      1.0251868      110.96278     0.94172591      122.94536      1.8161567
            3.4      68.697188      1.0789171      64.955331      1.1652815       72.18998      1.2192031
            3.6      44.567505     0.60521909      41.322851     0.57181615      48.322169     0.77501592
            3.8      28.846907     0.47709677      26.864281     0.44061515       30.73759     0.59714797
              4      19.572357     0.39540235      18.139479     0.36888601      20.821981     0.53121231
            4.2      13.372015     0.33606384      12.350562     0.33561687       14.59692     0.40711015
            4.4      8.5337162     0.27655578      7.8740853     0.23818734       9.202172     0.37808331
            4.6      6.0574017     0.21094529      5.5257062     0.18609413      6.6568744     0.26870864
            4.8      3.9717141     0.17716569       3.649928     0.16128382      4.3582326     0.22146557
              5      3.9717141     0.17716569       3.649928     0.16128382      4.3582326     0.22146557
