#  dphiHiggstop        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      114.06789      1.9142961      105.84491      1.4108235      120.56055      3.4814025
            0.2       112.1397     0.92641568      104.56143     0.87166225      119.88289      1.3694859
            0.4      109.68695     0.92121883      101.57963      1.0125928      118.19654      2.5591729
            0.6      110.31066     0.92774655      103.37078     0.88291354      116.88486      1.3396352
            0.8      112.03528     0.91273024      103.99528     0.84218339      120.09961      1.1737384
              1       112.3793     0.95996475      104.74485      0.8843852       118.4873      1.3061921
            1.2      115.13188      0.9329961      107.02285     0.86846422      123.43417       1.397912
            1.4        123.576      1.1246246      116.26735      1.3463388      130.43465      1.2797647
            1.6      131.37083      1.0549842      123.09972      1.0709578      140.89348      1.3840092
            1.8      142.10377      1.2555275      133.52879      1.1174039      153.22551      2.2644732
              2      157.41807      1.1489381      147.84862      1.0961292      168.93894      1.6757429
            2.2      175.73885      1.1956249      165.10588      1.0980954      185.82063      2.0648849
            2.4      198.57108      1.4060504       187.7736      1.2620143      209.96847      2.3572847
            2.6      227.16901      1.3668355      214.21807      1.2781994      241.71941      1.9810895
            2.8      252.54556      1.5616542      239.22027      1.8186291      259.12504      3.9478531
              3      192.55244      1.7221234       182.3887      1.9536574      206.55625      2.1135485
            3.2      192.55244      1.7221234       182.3887      1.9536574      206.55625      2.1135485
