#     dphittbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      44.608845     0.74664089      39.882503     0.64269702      50.968309      1.1759922
            0.2      43.944954     0.85118215      39.860945      1.0128874      44.946964     0.88794737
            0.4      45.756873      1.2736453      41.774157      1.6032454      49.711664     0.98938107
            0.6      47.627811     0.59553425      43.008419     0.53482473       52.13219      1.1592787
            0.8      51.530186     0.62646479      46.795626     0.58040363      56.055628     0.84840333
              1      57.737955     0.67689836      52.502469     0.64176102      63.870077      1.1143276
            1.2      65.780048     0.71531615       60.00107     0.69778134      72.309172      1.5882648
            1.4      76.406898     0.78096173      70.114115     0.73769626      82.323011      1.1148274
            1.6      91.063713     0.83621283      84.008825     0.78635647      97.998634      1.1714138
            1.8      113.25511     0.95770269      104.80744     0.97843729      124.28235      2.0033994
              2      148.07739      1.3119873      138.62709       1.488991      159.80339      2.2477464
            2.2       192.7495      1.2821419      180.45794      1.3009214      205.33234      1.6620306
            2.4      257.23438      1.5818915      243.40157      1.5047109      272.55655      2.4778596
            2.6      344.46453      1.6090923       326.1524       1.509555      361.19091      2.2634962
            2.8      445.04712      1.8317265      423.27965      1.8025327      467.84341      3.3938408
              3      361.51196      2.3944329      345.89651      2.0077465      374.62955      4.0423221
            3.2      361.51196      2.3944329      345.89651      2.0077465      374.62955      4.0423221
