# massHiggs+top        central        num_err    min (scale)        num_err    max (scale)        num_err
# +tbar
            690      1.0948424    0.026062077      1.0204757    0.020422107      1.1724873    0.038591096
            695      1.0696304    0.018747521       1.004907    0.016747629      1.1471167    0.022750274
            700      1.0204631     0.01805733     0.96347296    0.016702986      1.0684476    0.022492105
            705      1.0468218    0.048208766     0.99547975    0.062224006      1.0861642    0.032061771
            710      1.0507235    0.066444858     0.97415188    0.044611042      1.1405629     0.10613292
            715     0.98019145    0.017488566     0.92302484    0.016336564      1.0325408    0.021868968
            720     0.95733164    0.017329803     0.90172419     0.01598526      1.0081845    0.021806678
            725     0.92135798    0.017134825     0.86898615    0.015953094     0.97022398    0.021396917
            730     0.93208126    0.017665952      0.8859319    0.017144752     0.96999457    0.021365243
            735      0.9080955    0.016996155      0.8544887    0.016032327     0.96359637    0.021058176
            740     0.91042355    0.017349147     0.86267586    0.017126923     0.95307558     0.02104652
            745     0.88548708    0.016738043     0.83009457     0.01544048      0.9361943    0.020856439
            750     0.87230937    0.016544791     0.82155329    0.015389371     0.92050663    0.021257304
            755     0.82223128    0.027425797     0.78304262     0.03502834     0.84234083    0.019968112
            760     0.82416626     0.01601929     0.77215087    0.014452258     0.87498411    0.020316516
            765     0.79457009    0.016019526     0.75319334    0.014821941     0.82998194    0.019964578
            770     0.80612351    0.016235271      0.7617578    0.015356355     0.84647925    0.019957635
            775      0.7451364     0.01551659     0.70957995    0.014850724     0.77005816    0.019288772
            780     0.74721208    0.015444744     0.70478485    0.014400564     0.78622397    0.019304077
            785     0.74160513    0.015566936     0.70055392    0.014713848     0.77577207    0.019020502
            790      0.7227678    0.015398601     0.68397406    0.014603389     0.75426456    0.018018359
            795     0.70927377    0.015051804     0.67626864    0.014070633     0.73519009    0.018915267
            800     0.66408897    0.015003394      0.6290657    0.014216914     0.69355778    0.018599974
            805     0.66841595    0.014740666     0.63601994    0.014127097      0.6919013    0.018069967
            810      0.6537711    0.014111819     0.60948067    0.012727517     0.70301708    0.017736512
            815     0.63030228    0.014022147     0.59192801    0.012655557     0.66502363    0.017606943
            820     0.63075191    0.013990613     0.59324064    0.012936289     0.66391531    0.017522737
            825     0.60654375    0.013672371     0.56641924     0.01238033     0.64870167    0.017392223
            830     0.57092933    0.013557325     0.53924251    0.012539816     0.59887882    0.016804134
            835     0.56464007    0.016278438     0.52736238    0.014998422      0.5817145    0.016906725
