#   dyHiggstbar        central        num_err    min (scale)        num_err    max (scale)        num_err
             -4     0.14709772     0.03425981     0.13171645    0.030388909     0.16458078     0.04146775
           -3.8       0.298694    0.049946142     0.23995756    0.046411553     0.32574228    0.054794535
           -3.6     0.57530876     0.07181449     0.51488138    0.067669578     0.65498099    0.086729424
           -3.4     0.77292112    0.078811384     0.69046625    0.069958368     0.85959975    0.097542165
           -3.2      1.4619016     0.12511195      1.3631411     0.12314083      1.5421644     0.13707064
             -3      2.4524321     0.14174432      2.2647225     0.12777649      2.7443672     0.18341452
           -2.8      4.3178277     0.20764474      3.9316677     0.22417734      4.8343092     0.22857612
           -2.6      6.3701792     0.21602767      5.7273633     0.18931604       7.153734     0.27311898
           -2.4      9.4728375      0.2825816      8.6474135     0.24384143      10.360866     0.37917202
           -2.2      14.110195     0.32990801      12.928406     0.29815656      15.342669     0.41528331
             -2      20.876159     0.43936562      19.356851     0.41162058      23.980117      1.5560974
           -1.8      32.255676     0.49882226      29.963523     0.45515276      34.792802     0.63352441
           -1.6      44.461053     0.61523563       41.55607     0.58774148      46.785242     0.75515145
           -1.4      63.351546     0.77379933      59.206853     0.82466511      67.384528     0.89814256
           -1.2      89.464314     0.98334165      83.852052     0.90927232      96.865644      1.8608114
             -1      115.09514     0.97117616      108.08924      1.0596176      122.48775       1.512197
           -0.8      152.85779      1.5949143      144.35654      1.8482746      158.31798      1.5930548
           -0.6      186.33483      1.2345483      175.02309      1.1421422      198.27986      1.8084671
           -0.4      215.12862      1.5120114      203.54991      1.4895719      230.61488      2.2490007
           -0.2      233.15498       1.340495      219.11818      1.2483095      245.54171      3.5211692
              0      235.92918      2.1467182      221.64159      1.9652926      250.27314      3.5400945
            0.2      215.88375      1.3048679       203.1587      1.2502592      225.41726      2.6503573
            0.4      187.40225      1.1998757      175.78727      1.1170011      201.25966       3.052377
            0.6      148.68409      1.0785447      139.81561     0.99798831      156.22993      1.5688623
            0.8      118.26944      1.1392124      111.21662      1.2047819      124.64674       1.822235
              1      87.121642      1.0246831      82.263857     0.85365685      91.669825      1.2898462
            1.2      61.860722     0.70468607      58.108615     0.67198819      65.824985       0.971917
            1.4      44.987142     0.60748258      41.893509     0.59551347      48.071636     0.74196081
            1.6      31.976672     0.60206537       29.86994     0.70492434      34.123458     0.62859939
            1.8      21.616122     0.41936908      19.894869     0.40715953      23.366843     0.51105563
              2      14.766644     0.33810268      13.414668     0.31483679      16.345834     0.41818898
            2.2      9.5573799     0.35089066      8.8033466     0.37653415      10.357751     0.35652744
            2.4      6.1079812     0.20811962      5.4653323     0.18305213      6.8807158     0.26571784
            2.6      3.6796352     0.17343811      3.3552414     0.15868906      4.0135679     0.20965984
            2.8      2.4396037     0.13424532      2.2119082      0.1195181      2.6721736      0.1674025
              3      1.3756916     0.10290607      1.2291184    0.093524264       1.535909     0.12967048
            3.2      0.9098703    0.087775699     0.81431488     0.08344764      1.0248276     0.10157338
            3.4     0.53726531    0.069258656     0.47966036    0.060704751     0.59489548    0.084616337
            3.6     0.27148664    0.047525446     0.23352765    0.038814981     0.32661696    0.060246542
            3.8     0.11248552    0.028833453    0.098538873    0.024536373     0.12686601     0.03430336
              4     0.11248552    0.028833453    0.098538873    0.024536373     0.12686601     0.03430336
