# R_etaHiggstop        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      13.025602     0.30672193      11.992397      0.2771843      14.089221     0.38514095
            0.2      34.514477      3.9801474      32.994497      2.5804666      35.277053      5.7014039
            0.4      58.778986     0.68711115      54.850311     0.70561595      62.242544     0.82384077
            0.6      75.538501     0.74747612      69.744837     0.86910115      80.715505     0.92751944
            0.8      88.631279     0.81198072      82.503836     0.75088903      94.535633      1.0116187
              1      98.209114      0.8626679      91.625637      0.8026384      104.29926      1.0702303
            1.2      108.16072     0.88780552      100.87513      0.8225579         115.11      1.1139127
            1.4      117.75344     0.96259234      109.85076     0.90991623      124.91668      1.1669699
            1.6      125.88933      1.0689889      118.36575      1.1507902      132.94414      1.2047425
            1.8      137.80808       1.012992      128.98323     0.95837186      146.50278      1.2628073
              2      149.03664      1.2532108      140.64334      1.1175534      157.55102      1.3386252
            2.2       169.1497      1.2144634      159.37852      1.2811081      178.53346      1.3995304
            2.4      188.23117      1.4128875        177.346       1.402367      200.12352      2.2876845
            2.6      213.12949      1.3044472      200.90933       1.268115       225.4123      1.6043596
            2.8      244.22613      1.4380312      231.32767      1.6171096      256.98492      1.7326781
              3      247.02052      1.3837026      233.19032      1.2872434      260.48201      1.8129097
            3.2       119.4816     0.97928576       112.3155     0.92595741      126.42702       1.259255
            3.4      69.687181     0.76790033       65.21538     0.74975609      74.328164     0.91896063
            3.6      43.518344     0.59026424       40.39122     0.54713907      46.711711      0.7288166
            3.8      28.727015     0.46395254       26.47419     0.42389342      31.148953     0.57925272
              4      18.828662     0.37935086      17.378154     0.34449903      20.386598     0.47563072
            4.2      13.349481      0.3355541      12.244412     0.29937706      14.541585     0.42422861
            4.4      9.3136447     0.29911965      8.6649132     0.30803057      9.9609864     0.32468022
            4.6      6.1501117     0.21864372       5.652664     0.20528564      6.6845148      0.2646151
            4.8      4.3786073     0.17470732      3.9673404      0.1565961      4.8957605     0.22118597
              5      4.3786073     0.17470732      3.9673404      0.1565961      4.8957605     0.22118597
