#     dphittbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      44.199269     0.67515161      39.659239     0.64765048      49.089483     0.81568698
            0.2      42.522593     0.59200519      38.264209     0.53061283      47.049052     0.74696612
            0.4      42.778852     0.55565425      38.574505     0.49578288      46.842964     0.76912338
            0.6      47.156331     0.60143869      42.963645     0.56677613      51.471555     0.72846108
            0.8       51.50058     0.64300307      46.738671     0.61192734      56.689633     0.76026746
              1      58.701106     0.66706971      53.292782     0.62768311      64.591024     0.80323734
            1.2      64.580862     0.72694613       59.23621     0.75150808      70.103804     0.85295233
            1.4      74.230358     0.74074446      67.968636     0.69293258      80.437291     0.90106392
            1.6      89.982184     0.80874429      82.695675     0.74064537       97.30807      1.0009136
            1.8      112.55346      1.0946574      104.43399     0.90268935      123.29402       1.926349
              2       144.7978      1.0996996      135.30456      1.3708182      154.55217      1.2757099
            2.2      194.27312      1.2928736      182.14533      1.3546018      205.50757      1.4843838
            2.4      257.84651      1.5514645       243.5477      1.4634107      271.51495      1.8779295
            2.6      350.48796      1.5973885      331.23674      1.4945222      369.01676      2.0219176
            2.8      454.14066      1.8741379      432.14114      1.9248171      473.17227      2.3120831
              3      362.57178      4.3027859      347.72412      3.0602736       374.5227      6.0122699
            3.2      362.57178      4.3027859      347.72412      3.0602736       374.5227      6.0122699
