# ptHiggs+top+t        central        num_err    min (scale)        num_err    max (scale)        num_err
# bar
            670    0.011085005   0.0010766381   0.0090531246  0.00088050228     0.01318039   0.0012843939
            680   0.0098304526   0.0010440176   0.0081195421  0.00085511321    0.011424286   0.0012520459
            690   0.0095950579   0.0010114827   0.0078995316  0.00082988778     0.01125644   0.0012122803
            700   0.0081958439  0.00092304764   0.0066113474   0.0007462303   0.0098949438   0.0011170189
            710   0.0063567438  0.00084085477   0.0052719088  0.00069145245   0.0073397596   0.0010008539
            720   0.0077102754   0.0009090376   0.0064226333  0.00075023755   0.0088197913   0.0010812787
            730   0.0070063474  0.00085598128   0.0057842228  0.00070940269   0.0081536561    0.001011577
            740   0.0060815316  0.00079851606   0.0050203193  0.00066438658   0.0070747509  0.00095142495
            750   0.0050024842   0.0007521305   0.0041891193  0.00060994349   0.0056108736  0.00094488137
            760   0.0060696509   0.0007969327   0.0049952877  0.00065746861   0.0071256141  0.00094229605
            770   0.0048827561  0.00071273654   0.0039537263  0.00057835543   0.0058782298  0.00086094423
            780   0.0040721018  0.00065209066    0.003290914  0.00052869809   0.0048805211  0.00078820948
            790   0.0046044105  0.00069418895   0.0039074456  0.00059294143   0.0050510242  0.00078300036
            800   0.0031456561   0.0005932808   0.0026508509  0.00048657037   0.0035317842  0.00072322906
            810   0.0049046141  0.00074605415   0.0040443017  0.00060871211   0.0057057193  0.00088953431
            820   0.0040842071  0.00065395468   0.0033694737   0.0005399328   0.0047616158  0.00076410832
            830   0.0029185386  0.00055171861   0.0023845228  0.00045115524   0.0034569263  0.00065613348
            840   0.0022943509  0.00053519977   0.0019027456  0.00041341197   0.0026442281  0.00071742386
            850    0.003130986  0.00057165653   0.0025967947  0.00047547385    0.003595993  0.00066114226
            860   0.0031472071  0.00057454886   0.0025032789  0.00045826651   0.0038661632  0.00071127919
            870   0.0018823474  0.00044367126   0.0015545702  0.00036687662   0.0021871456  0.00051707793
            880   0.0020984877  0.00046920617   0.0017057035  0.00038207009   0.0024948123  0.00056071496
            890   0.0026221351  0.00054499878   0.0021132035  0.00044315546   0.0031412474  0.00065271668
            900   0.0018894772  0.00044532932   0.0015787649  0.00037311762   0.0021250596  0.00050539449
            910  0.00073477543  0.00027770513  0.00058662457  0.00022220552   0.0008971421  0.00034117113
            920   0.0016777474  0.00041941218   0.0013954351  0.00034918511   0.0019223175  0.00048253729
            930   0.0020500562  0.00047338344   0.0017489473  0.00041239855   0.0022794562  0.00053101623
            940    0.001257114  0.00039349615    0.001049186  0.00031840363   0.0014272316  0.00047967767
            950   0.0019946491  0.00045757619   0.0017449912  0.00041411901    0.002100986  0.00050980846
            960   0.0025071912  0.00051180209   0.0020993211  0.00043467158   0.0028447947  0.00060502731
            970   0.0010497123  0.00033192825  0.00084933334  0.00026883447   0.0012585158  0.00039918756
            980   0.0009446965  0.00034811238  0.00084689298  0.00045585838  0.00094565264  0.00032666521
            990   0.0014633842  0.00039110286   0.0011847474  0.00031827064   0.0017611719  0.00047659416
           1000   0.0014633842  0.00039110286   0.0011847474  0.00031827064   0.0017611719  0.00047659416
