#  dphiHiggstop        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      108.92517      4.0518018      102.21765      2.6900904      114.60238      6.5100441
            0.2      111.11834     0.90276685       103.6622     0.84227784      117.85538      1.1281533
            0.4      112.67938     0.93354243      104.39159      1.0402463      119.91392      1.1455733
            0.6      109.97247       0.909632      102.51778     0.84700214      117.07586      1.1289112
            0.8      112.18304     0.92169395      104.48629     0.87829707      119.76199      1.1295953
              1      112.99403     0.91793128      105.23291     0.83624207      120.11246      1.1359469
            1.2      117.74165     0.93555109      109.60601     0.87085245      125.93262      1.1764799
            1.4      123.47651        1.09406      115.55103       1.214865      130.47289      1.2015001
            1.6      131.72439      1.0370628      123.36967      1.0435534       140.3696      1.2337809
            1.8      140.03239      1.2190437      131.42501      1.0732697      151.19212      2.0191664
              2      158.00683      1.1089003        148.271      1.0417223      167.66395      1.3768298
            2.2      177.66099       1.174695       167.1491      1.1081621      188.04253      1.4496839
            2.4      199.58294         1.4751      189.13036      1.5053715      208.56944       1.723776
            2.6      227.58292      1.3361862      214.73279      1.2678542      240.17692      1.6612366
            2.8       255.1869      1.4790739       241.5723      1.6569493      268.67424      1.8110534
              3      193.45548      1.2386035      182.61147      1.1686038      204.50371      1.6246191
            3.2      193.45548      1.2386035      182.61147      1.1686038      204.50371      1.6246191
