#  R_yHiggstbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      20.823447     0.38605258      19.135451      0.3513785      22.664234      0.4826855
            0.2      57.769823     0.64913451      53.467637     0.59299198       61.55569     0.93459583
            0.4      86.732914     0.81048852      80.798637     0.77544271       92.57765     0.99004551
            0.6      104.90176      0.8744511      97.531162     0.80114806      111.43567       1.094255
            0.8      113.73168     0.91858697      105.89567     0.85697772      121.12031      1.1388746
              1      118.87879      1.0049915      111.52139      1.2852645      126.16845       1.162579
            1.2      126.05845      1.0707634      117.85733      1.1627392      133.78932      1.2156143
            1.4      130.88301     0.98253849      122.30989      0.9174964      139.34005      1.2263239
            1.6      134.01908      1.1545722      125.47114     0.96983602      142.47137      1.4517591
            1.8        141.801      1.0431282      133.14577      1.0089422      149.54192      1.2915901
              2      156.15277      1.1205724      146.71048      1.1101332      165.15558      1.3619236
            2.2      171.64331      1.3356584       161.4852      1.2086974      182.67452      1.4298892
            2.4      193.62263      1.2927999      182.27024      1.3394892       204.5678       1.521651
            2.6      215.66034      1.3477464      203.29705      1.3519202      227.49769      1.6247985
            2.8      247.16282      1.4170948      233.33229      1.3723114      261.11022        1.74104
              3      234.81305      4.1862916      223.26646      2.9222601      246.14114      6.8301471
            3.2      81.643663     0.83335109      76.760615     0.79460657      86.451685      1.0065803
            3.4      30.622347     0.49448107      28.479347     0.46505342      32.775085     0.60586432
            3.6      13.547973     0.31518247      12.515915     0.29324585      14.744443     0.39913645
            3.8      6.6075666     0.21966255      5.9684398      0.1985083      7.3901086     0.26926117
              4      2.6979998      0.1394694      2.4126268     0.12013819      2.9998517     0.17925109
            4.2      1.2778131    0.095855622       1.157015    0.085009904      1.3953964      0.1233336
            4.4      0.7670877    0.085354462     0.70020943     0.10071431     0.76988367    0.082749775
            4.6     0.29927166    0.045484045     0.25913095    0.040739324     0.36022965     0.05704188
            4.8    0.075434001    0.022422818    0.070095701    0.018641101    0.076629913    0.028862247
              5    0.075434001    0.022422818    0.070095701    0.018641101    0.076629913    0.028862247
