# dphiHiggstbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      9836146.4              0      1781470.9              0       17890822              0
            0.2       487280.8              0      302660.21              0      671901.39              0
            0.4      1218642.2              0      456548.48              0      1980735.9              0
            0.6      384621.42              0      264695.49              0      504547.35              0
            0.8      853867.21              0       564523.1              0      1143211.3              0
              1      1274639.1              0      756521.06              0      1792757.1              0
            1.2      6107554.7              0      1410915.4              0       10804194              0
            1.4       30737751              0         374853              0       61100649              0
            1.6  1.5088466e+09              0       81453300              0  2.9362399e+09              0
            1.8       63854091              0       26867302              0  1.0084088e+08              0
              2  1.3696938e+10              0       19788000              0  2.7374088e+10              0
            2.2       16686351              0       10153049              0       23219653              0
            2.4       44932403              0        9550291              0       80314515              0
            2.6  8.3347833e+08              0  3.2081636e+08              0  1.3461403e+09              0
            2.8  1.2814352e+09              0  3.6481525e+08              0  2.1980552e+09              0
              3   4.050363e+08              0  1.6560696e+08              0  6.4446564e+08              0
            3.2   4.050363e+08              0  1.6560696e+08              0  6.4446564e+08              0
