# R_etattbarHig        central        num_err    min (scale)        num_err    max (scale)        num_err
# gs
              0              0              0              0              0              0              0
            0.2              0              0              0              0              0              0
            0.4              0              0              0              0              0              0
            0.6              0              0              0              0              0              0
            0.8              0              0              0              0              0              0
              1              0              0              0              0              0              0
            1.2              0              0              0              0              0              0
            1.4              0              0              0              0              0              0
            1.6              0              0              0              0              0              0
            1.8              0              0              0              0              0              0
              2              0              0              0              0              0              0
            2.2              0              0              0              0              0              0
            2.4              0              0              0              0              0              0
            2.6              0              0              0              0              0              0
            2.8              0              0              0              0              0              0
              3      553676.28              0      219750.17              0      887602.39              0
            3.2  1.7901462e+10              0   4.107771e+09              0  3.1695153e+10              0
            3.4      45929.487              0      35309.047              0      56549.927              0
            3.6      13562.964              0      6531.2885              0       20594.64              0
            3.8      3134.8226              0      1578.7999              0      4690.8453              0
              4      1933.1323              0      1357.2355              0      2509.0291              0
            4.2      1609.3404              0       600.0812              0      2618.5996              0
            4.4      514.93827              0      293.16137              0      736.71517              0
            4.6      21522.337              0        592.018              0      42452.656              0
            4.8      728.98604              0      188.89505              0       1269.077              0
              5      728.98604              0      188.89505              0       1269.077              0
