#R_etaHiggstbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      927738.05              0       16132.47              0      1839343.6              0
            0.2      8050520.1              0        89866.3              0       16011174              0
            0.4      939798.14              0      192901.27              0        1686695              0
            0.6      258540.04              0      136085.73              0      380994.35              0
            0.8      255005.41              0       87825.65              0      422185.17              0
              1        1234526              0      395455.43              0      2073596.6              0
            1.2      689815.69              0      298737.28              0      1080894.1              0
            1.4      710453.02              0      443016.64              0       977889.4              0
            1.6       65006941              0        2649574              0  1.2736431e+08              0
            1.8       44465127              0       12415947              0       76514307              0
              2       33815516              0       15705178              0       51925854              0
            2.2       18672182              0       10803615              0       26540749              0
            2.4  1.4663142e+09              0       40002700              0  2.8926257e+09              0
            2.6  4.7990465e+08              0       16611560              0  9.4319774e+08              0
            2.8  1.3939089e+09              0  4.6671644e+08              0  2.3211014e+09              0
              3   4.974087e+08              0  2.4744878e+08              0  7.4736862e+08              0
            3.2  1.3722245e+10              0       45062000              0  2.7399428e+10              0
            3.4      4793046.4              0        2015568              0      7570524.8              0
            3.6   1.620903e+08              0        7111210              0  3.1706939e+08              0
            3.8      373642.75              0      198052.04              0      549233.46              0
              4      24275.499              0       4252.331              0      44298.667              0
            4.2      3504.6932              0       2405.768              0      4603.6184              0
            4.4      11307.226              0      3561.8716              0       19052.58              0
            4.6      572.57509              0      353.64797              0      791.50221              0
            4.8      501.78375              0      277.13898              0      726.42852              0
              5      501.78375              0      277.13898              0      726.42852              0
