# detaHiggstbar        central        num_err    min (scale)        num_err    max (scale)        num_err
             -4       3.612842    0.027378188      3.1546343    0.023761034       4.061365    0.031704331
           -3.8      4.7576375    0.031311323      4.1614554    0.027255676      5.3367993    0.036017726
           -3.6       6.246886    0.035815737      5.4848638     0.03136136       6.971238    0.041104994
           -3.4      8.0419823    0.040562084      7.0772662    0.035588884      8.9478231    0.046334219
           -3.2      10.448158    0.046166671      9.2083481    0.040542857      11.603088    0.052638968
             -3      13.446962     0.05229281      11.885212    0.046089086      14.880266    0.059189519
           -2.8      17.174391    0.059287697      15.220265    0.052440886      18.938982    0.066950156
           -2.6      21.714861     0.06624706      19.284877    0.058691725      23.880484    0.074603383
           -2.4      27.542765    0.074488689      24.531536    0.066228266      30.174341    0.083852393
           -2.2       34.39266     0.08310817      30.684458     0.07407289      37.605009    0.093013968
             -2      42.768761    0.098193781      38.300364    0.088893907      46.505539     0.19877979
           -1.8      52.910613     0.10262264      47.366961    0.091982752      57.619125     0.11448669
           -1.6      64.598787     0.11314032       57.89621     0.10140037      70.262791     0.12530092
           -1.4      77.936172     0.12398931      69.950972     0.11132554      84.608764     0.13705228
           -1.2      92.638225      0.1348478      83.238512      0.1214904      100.44245     0.14987325
             -1      108.14616     0.14533845      97.244192     0.13086188      117.15463     0.16061577
           -0.8      123.73452     0.15506892      111.31073     0.13972491       133.9718     0.17173589
           -0.6       137.7947     0.16328079      124.01791     0.14760309      149.09449      0.1825548
           -0.4      148.70038     0.16936521      133.82995     0.15277404      160.91072     0.18744573
           -0.2      154.81912     0.17269349      139.35564     0.15591337      167.49546     0.19185682
              0      154.28146     0.17239928      138.82134     0.15530257      167.01596     0.19019117
            0.2       148.3904     0.16923651      133.52249     0.15245666      160.62737      0.1866852
            0.4      137.23747     0.16302687      123.48186     0.14698909      148.55962     0.18009312
            0.6      123.76779     0.15517588       111.3037     0.13972845       134.0719     0.17137404
            0.8       108.4359     0.14561718      97.481044     0.13143925      117.51556     0.16192142
              1      92.864737     0.13515248      83.400218     0.12141819      100.77482      0.1492522
            1.2      78.122017     0.12427037      70.099775     0.11162842      84.852342      0.1375534
            1.4      65.132193     0.11378559       58.36586     0.10219942      70.858054     0.12770087
            1.6      53.116267     0.10300649      47.513367    0.092223657      57.920552     0.11489726
            1.8       43.10387    0.093055622      38.499685    0.083115965      47.081061     0.10419404
              2      34.589769    0.083579598      30.821578    0.074406991       37.89788    0.093969697
            2.2      27.740133    0.074939752      24.656489    0.066571193      30.493875    0.084424662
            2.4      21.952001    0.066878047      19.468752    0.059172684       24.19814    0.075377307
            2.6      17.392047    0.059638141      15.376164    0.052616495      19.249185    0.067621889
            2.8       13.56622    0.052762752      11.963263    0.046403868      15.066689    0.060135692
              3      10.571143    0.046729669      9.2964046    0.041000824      11.782196    0.053903974
            3.2      8.1541183    0.041147621      7.1514658    0.035952121      9.1187791    0.047698742
            3.4      6.2869579    0.036137718      5.5008593    0.031508523       7.052261    0.041493383
            3.6        4.86223    0.031885945      4.2386345    0.027695892      5.4817383    0.036971597
            3.8      3.7152196    0.028015483      3.2307291    0.024223961      4.2034804    0.032531175
              4      3.7152196    0.028015483      3.2307291    0.024223961      4.2034804    0.032531175
