#        etatop        central        num_err    min (scale)        num_err    max (scale)        num_err
             -4      4.0003757    0.028249478      3.5893855    0.025202995      4.3517129    0.031660827
           -3.8      5.8993766    0.034500854       5.280746    0.030681837      6.4421971    0.038890641
           -3.6       8.533746    0.041448839      7.6344897    0.036991419      9.3247976    0.046370598
           -3.4      11.970982    0.049216141      10.703585    0.043940409      13.093024    0.055103236
           -3.2        16.7076    0.058167261      14.920067    0.051899408      18.309692    0.065130822
             -3      22.466227    0.067473601      20.055017    0.060194545      24.630713    0.075373451
           -2.8      29.834913    0.077759675       26.63814    0.069399946      32.696539    0.086784379
           -2.6      38.257269     0.08793238      34.180734    0.078557151      41.886685    0.098290463
           -2.4      47.772168    0.098067112      42.696692    0.087671238      52.268705     0.10914768
           -2.2      57.559919     0.10746038      51.487682    0.096193427       62.88784     0.11965459
             -2      67.744839      0.1162485      60.630286     0.10424494      73.945892     0.12966769
           -1.8      76.888788     0.12363826      68.862138     0.11091961      83.810278      0.1382978
           -1.6      84.906984     0.12967874      76.091992     0.11631186      92.432333       0.144007
           -1.4       91.45954     0.13436093      82.023068      0.1206131      99.423463     0.14877368
           -1.2      96.159645     0.13770662      86.274923     0.12367337      104.42944     0.15224782
             -1      98.472156       0.139187      88.400064     0.12513958      106.80957     0.15465023
           -0.8      99.184305     0.13964018      89.115053     0.12555215      107.40644     0.15442953
           -0.6      99.374156     0.13978379      89.320672      0.1256777       107.5105     0.15419685
           -0.4      98.869648     0.13941614      88.902053      0.1257548      106.88134     0.15516578
           -0.2      98.281193      0.1390113      88.381888     0.12550222      106.21717     0.15496482
              0      98.278983     0.13901902      88.371375      0.1251788      106.22628     0.15415603
            0.2      98.880174     0.13939298      88.878667     0.12539745       106.9548     0.15391987
            0.4      99.466802     0.13979611      89.382425     0.12578783      107.66262     0.15436618
            0.6      99.343487     0.13972706      89.248957      0.1257203      107.58853     0.15464771
            0.8      98.471678     0.13915069      88.428913     0.12550609      106.75119     0.15560665
              1      95.843536     0.13735881        85.9997     0.12336618       104.0702     0.15211694
            1.2      91.339199     0.13428675       81.92195     0.12097421      99.281245      0.1515822
            1.4      85.297257     0.13392839      76.478424     0.12084113      92.770666     0.22231332
            1.6      76.854192     0.12360496      68.816285     0.11078833       83.80261     0.13699639
            1.8      67.702955       0.116289      60.602684     0.10423511      73.880343     0.12945455
              2      57.668551     0.10757959      51.572329    0.096287417      63.035643     0.11973911
            2.2      47.711571    0.098082733      42.634976    0.087911036      52.218228     0.11019336
            2.4       38.21806    0.087995824      34.108377    0.078562635      41.913798     0.09883715
            2.6      29.922496    0.077935656      26.695051    0.069513835      32.834568    0.087082331
            2.8      22.729956    0.068049636      20.263418    0.060620241      24.974669    0.076152952
              3       16.72971    0.058379759      14.923712    0.052088186      18.360056    0.066149354
            3.2      12.167882    0.049715278      10.854167    0.044276513      13.357484    0.055732514
            3.4      8.5415611    0.041728137      7.6263156    0.037269307       9.362777    0.047422615
            3.6      5.9316294    0.034637212      5.2991781    0.030816642      6.4988831    0.038867419
            3.8      4.0606657    0.028613626      3.6357737    0.025462458      4.4338179    0.032223301
              4      4.0606657    0.028613626      3.6357737    0.025462458      4.4338179    0.032223301
