# R_etaHiggstop        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      13.820665     0.05399632      12.372881    0.048244296      15.024366    0.060116278
            0.2      39.566532    0.090593736       35.42834    0.081062908      43.020008     0.10074227
            0.4      60.541827     0.11123581      54.231261     0.09960759      65.800997      0.1236194
            0.6      76.802516     0.12451813      68.795505     0.11149352      83.516314     0.13813772
            0.8      89.582575     0.13381805      80.276416     0.12006269       97.38298     0.14888073
              1      99.583624     0.14048559      89.240342      0.1263838      108.30052     0.15687014
            1.2       108.1097     0.14587945      96.900362     0.13085602      117.57046     0.16157977
            1.4       116.1416     0.15073355      104.12845     0.13531184      126.29096     0.16707961
            1.6      125.01259     0.15595106      112.11524     0.14036643      135.90978      0.1741421
            1.8      135.03604     0.16160123      121.15191     0.14561276      146.76083     0.18143661
              2      147.07826     0.16807819      132.00208     0.15122393       159.8154     0.18627944
            2.2      162.39301     0.17592861      145.78356      0.1582753      176.42447      0.1945036
            2.4      181.66461     0.18517946      163.19242     0.16692941       197.1957     0.20617821
            2.6      204.45858       0.195173      183.81728     0.17580398      221.69455     0.21532456
            2.8      229.53974      0.2052348      206.66544     0.18499743       248.3297      0.2262071
              3      230.86878     0.20542444      208.14983      0.1854282      249.14391     0.22832454
            3.2      113.72569     0.15199177      101.95879     0.13665438      123.53723     0.23704232
            3.4      65.209963     0.11377323      58.071522      0.1011988      71.463281     0.12822949
            3.6       40.94495    0.090810083      36.280967    0.080235077      45.155419      0.1028657
            3.8       27.06373    0.074256088      23.870214    0.065190954      30.027565    0.084948528
              4      18.240534    0.061480653       16.03682    0.053834512      20.312109    0.070632308
            4.2      12.329023    0.050598788      10.801195    0.044009036      13.794213    0.058508115
            4.4      8.4520984    0.041981934      7.3785918    0.036457542       9.501416    0.048885763
            4.6        5.99885    0.035488334      5.2233054    0.030652131      6.7657351    0.041330969
            4.8      4.1316007    0.029524952       3.583512    0.025411422      4.6854709    0.034591636
              5      4.1316007    0.029524952       3.583512    0.025411422      4.6854709    0.034591636
