# dphiHiggstbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      115.65523      0.1511814      103.51199     0.13521928      125.86256     0.16884817
            0.2      114.37481     0.15020624      102.36232      0.1345666      124.48457     0.16791069
            0.4      112.81024     0.14905857      100.94019     0.13329785      122.86059     0.16587988
            0.6      111.60961      0.1481484      99.873793      0.1326219      121.57739     0.16508869
            0.8      111.68108     0.14802142      99.937096      0.1325651      121.68755     0.16441675
              1      113.09498      0.1488565      101.20741     0.13388377      123.24611     0.16742625
            1.2      116.29029     0.15075689      104.06821     0.13508969      126.76009      0.1678122
            1.4      121.24853     0.15371694      108.55573     0.13813313      132.10775     0.17232041
            1.6       128.3826     0.15787825      114.89972     0.14145156      140.00716     0.17513364
            1.8      138.63671     0.16369369      124.15701     0.14719331      151.07026     0.18391938
              2      152.16436     0.17092028      136.32068     0.15338675      165.76555     0.18993862
            2.2      169.12679     0.17944572       151.5721     0.16106715      184.18346     0.19877778
            2.4      190.57893       0.189429      171.00355     0.17051698      207.18678     0.21092688
            2.6      215.07283     0.19985598      193.20126     0.17977107      233.39684     0.22159681
            2.8      238.12145       0.211241      214.40588     0.19064268      257.41185     0.28676702
              3      176.93217     0.18227348      159.60938     0.16400908      190.66618     0.20205838
            3.2      176.93217     0.18227348      159.60938     0.16400908      190.66618     0.20205838
