#     dphittbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      41.831987    0.090429548      37.202692    0.080544278      46.245184     0.10148068
            0.2       42.93983    0.091329963       38.15275    0.081248556      47.530335     0.10274314
            0.4       44.47128    0.093033158      39.511362    0.082712454      49.225046       0.104595
            0.6      47.106023      0.1012515      41.922974    0.091165277      51.988317     0.20075201
            0.8      50.997271    0.099797353       45.33829    0.088751593      56.379704     0.11195105
              1      56.264665     0.10487262      50.089791    0.093475902      62.071985     0.11756821
            1.2      63.953011     0.11178551      56.970183    0.099706102      70.466217     0.12507371
            1.4      74.913247     0.12089578      66.805476     0.10786806      82.380598     0.13500579
            1.6        89.7342     0.13215199      80.105814     0.11819346      98.477144     0.14830468
            1.8      111.37522     0.14677303      99.524513     0.13120147      121.98192     0.16297382
              2      142.53955      0.1653731      127.52088      0.1483098       155.7369     0.18492189
            2.2      186.97057     0.18778763      167.45762      0.1682915      203.75878     0.20806042
            2.4      250.69268     0.21482714      224.90709     0.19342723      272.25548     0.24109927
            2.6      336.38252     0.24442223      302.26365     0.21979585      364.07027     0.27059616
            2.8      433.81501     0.27166824      390.62031     0.24482005      467.59529     0.30212915
              3      351.79354     0.25013103      317.23292     0.22575916      378.11152     0.27874444
            3.2      351.79354     0.25013103      317.23292     0.22575916      378.11152     0.27874444
