#       etatbar        central        num_err    min (scale)        num_err    max (scale)        num_err
             -4      3.7939309    0.027593684      3.4303533     0.02484985      4.0786967    0.030490833
           -3.8      5.5229655    0.033351686      4.9864789    0.030012768      5.9504684     0.03690112
           -3.6      8.0633555    0.040304912      7.2651961    0.036243304      8.7125105    0.044695053
           -3.4      11.533422    0.048310986      10.374205    0.043399268      12.495702    0.053707277
           -3.2       16.10896    0.057079047      14.469278    0.051235118      17.496511    0.063354834
             -3      21.751816    0.066318304      19.527901    0.059610045       23.63789    0.073916917
           -2.8       28.99965    0.076567928      25.995681    0.068609292      31.586985    0.085113216
           -2.6      37.329664    0.092629706      33.519174    0.084167323      40.540194     0.19485057
           -2.4      46.792755    0.096961028      41.894385    0.086856422      51.063359     0.10757112
           -2.2      57.241524     0.10703065      51.271485    0.095939892      62.414071     0.11895151
             -2      67.246864     0.11576777      60.201798      0.1036741      73.367367     0.12834506
           -1.8      76.580604     0.12333132      68.577165      0.1104755      83.499585      0.1367717
           -1.6      85.126178     0.12981736      76.282199     0.11644104      92.693766     0.14402134
           -1.4       91.79863     0.13459272      82.264674     0.12086661      99.913137      0.1497612
           -1.2      96.369677     0.13777437      86.386018     0.12369559      104.80322      0.1529638
             -1       99.37636     0.13992507      89.104848     0.12557478       107.9954     0.15507047
           -0.8      100.31838      0.1404517      89.994023     0.12605351      108.88957     0.15550379
           -0.6      100.72451     0.14085655      90.405859     0.12656647      109.20976     0.15712382
           -0.4      100.02422     0.14027206      89.776646     0.12626623      108.43607     0.15663359
           -0.2      99.495743     0.13987781      89.303283     0.12558128      107.85054     0.15468779
              0      99.838826     0.14011536      89.624819     0.12622086        108.199     0.15676728
            0.2      100.07523     0.14024523      89.826071     0.12604229      108.49011     0.15524919
            0.4      100.56173     0.14062314      90.240815     0.12620871      109.07589     0.15567432
            0.6      100.32741     0.14046665      90.005797     0.12616427      108.89684     0.15646261
            0.8      99.308538     0.13975376      89.093062     0.12570286      107.82246     0.15576233
              1      96.462512     0.13787167      86.482682     0.12417579      104.87413     0.15558185
            1.2      91.858753     0.13463088      82.328265     0.12118344      99.959359     0.15088036
            1.4      85.357272     0.13000065      76.479644     0.11665005      92.962961     0.14480327
            1.6      76.685815     0.12345482      68.678069     0.11069399      83.596095     0.13721961
            1.8      66.962085     0.11562012      59.961491     0.10356019      73.032231     0.12828642
              2      57.036611      0.1069103      51.055888     0.09574692      62.252239     0.11911918
            2.2      46.975954    0.097226696      42.064114    0.087129221      51.251529     0.10815149
            2.4      37.664971    0.087228866      33.717603     0.07810441      41.115752     0.09683901
            2.6       29.21508    0.076957075       26.16471    0.068956107      31.871561    0.085580207
            2.8      21.985437    0.066828265      19.700192    0.059868062      23.966096    0.074218388
              3      16.195066    0.057392459        14.5239    0.051456561      17.631809     0.06373894
            3.2      11.595687    0.048623698       10.40718    0.043587047      12.609856    0.054091279
            3.4      8.1561561    0.040771282      7.3271538    0.036547723      8.8583553     0.04534105
            3.6      5.6079515    0.033799784      5.0437373    0.030317787       6.079205    0.037548702
            3.8      3.8736835    0.028107366        3.49301      0.0252355      4.1805913    0.031274539
              4      3.8736835    0.028107366        3.49301      0.0252355      4.1805913    0.031274539
