#  dphiHiggstop        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      115.06678     0.15088823      102.96889     0.13489058       125.2454     0.16851132
            0.2      113.66708     0.14980391      101.70851     0.13394558      123.75704     0.16713365
            0.4      112.32509     0.14877296      100.50395     0.13306549      122.33027     0.16554092
            0.6      111.12532      0.1478732      99.411792      0.1323001       121.0885       0.164703
            0.8      111.37943     0.14791111      99.681359     0.13289209      121.32058      0.1658202
              1      112.37447      0.1485045      100.53372     0.13294957      122.52589     0.16523982
            1.2      115.76485     0.15046772       103.5796     0.13480994      126.21876     0.16747431
            1.4      121.08968     0.15364626      108.39782     0.13813173      131.96645     0.17311241
            1.6      128.62292     0.15804695        115.149     0.14165402      140.19533     0.17530764
            1.8      138.76635     0.16372592      124.27628     0.14725525      151.21084      0.1840323
              2       152.0612     0.17089106      136.21258     0.15333147      165.68849     0.18946831
            2.2       169.8139     0.17976124      152.19254     0.16139104        184.924     0.19914732
            2.4      190.84069     0.18951563      171.22967     0.17053025      207.47915      0.2106608
            2.6      215.70851     0.20270512       193.8733     0.18287256       233.8717     0.27911511
            2.8      239.25343     0.20907875      215.38748      0.1883857      258.73568     0.23205911
              3       177.9209     0.18261614      160.51984     0.16448238      191.71659     0.20273834
            3.2       177.9209     0.18261614      160.51984     0.16448238      191.71659     0.20273834
