#   dyHiggstbar        central        num_err    min (scale)        num_err    max (scale)        num_err
             -4    0.074449801   0.0048290495    0.062514015   0.0039199002    0.088453922   0.0060421001
           -3.8     0.14519239   0.0066253361     0.12186735   0.0053709475     0.17268863   0.0083010426
           -3.6     0.28274846   0.0088985459     0.23693174   0.0072561365     0.33714459    0.011065615
           -3.4      0.5056387    0.011957055     0.42791513   0.0098272472     0.59568835    0.014729999
           -3.2     0.85758428    0.015714215     0.73242336    0.012981412     0.99826432    0.019399118
             -3       1.444502    0.020370407      1.2407876    0.016975421      1.6705922    0.025074446
           -2.8      2.4362992    0.026026604      2.1033004    0.021744121      2.8005954     0.03157652
           -2.6      3.8570714    0.032991251      3.3530912    0.027713807      4.3948785    0.039973479
           -2.4      6.1262115    0.041266545      5.3584846    0.034841892      6.9282679    0.049572962
           -2.2      9.6144442    0.051078384      8.4458369    0.043356032      10.818121    0.060927132
             -2      14.795205    0.062694122      13.054675    0.053475484      16.558626    0.074220325
           -1.8      22.115782    0.076076125      19.610191    0.065307649      24.601743    0.089923757
           -1.6      32.849903    0.091645272      29.201355    0.078933133      36.439996     0.10750739
           -1.4       47.84723     0.10883663      42.599446    0.094277096       52.99366     0.12720234
           -1.2      67.480576     0.12752625       60.13409     0.11078618      74.683768     0.14851172
             -1      93.138888     0.14729198      82.991013     0.12813569      103.14546     0.17040543
           -0.8       122.7601     0.16667029      109.35886     0.14530576      136.03107     0.19252355
           -0.6      153.95432     0.18368531      137.00363     0.16030352        170.881     0.21172895
           -0.4      182.42065     0.19720531      162.15053     0.17227987       202.8296     0.22718121
           -0.2      200.30036     0.20438777      177.81332     0.17867029      223.12837     0.23527062
              0      203.57248     0.20460497      180.47592     0.17974643      227.21167      0.2379997
            0.2      191.76947      0.1978268       169.7344       0.173041      214.54577     0.22760827
            0.4       168.4039      0.1854117      148.74556     0.16204324      188.95586     0.21339371
            0.6      139.07227      0.1688152      122.60678     0.14750931      156.44601     0.19464426
            0.8      109.32858     0.15008176      96.125433     0.13089605      123.42686      0.1732653
              1      82.727994     0.13087331      72.484083     0.11383625      93.823966     0.15135877
            1.2       60.39913     0.11204074      52.722233    0.097204993      68.826401     0.13002688
            1.4      43.447472    0.095097456      37.766043    0.082248945      49.770028     0.11095985
            1.6      30.080671    0.080359354      26.013188    0.068944622      34.680599    0.094511016
            1.8      20.465155    0.065594668       17.62489    0.056229228      23.713925    0.077333281
              2      13.833059    0.053885548      11.848047    0.046064018      16.136202    0.063952426
            2.2      8.9283237    0.043444707      7.6169847    0.037210171      10.461404    0.052585818
            2.4      5.6296842    0.034505771      4.7666982    0.029102584      6.6584044    0.041393416
            2.6      3.5368724    0.027300743      2.9797599    0.022935775       4.207867    0.032877649
            2.8      2.1853134    0.021584569      1.8327518    0.018083102      2.6138102    0.026301195
              3        1.30782    0.016659912      1.0892814    0.013841405      1.5775668    0.020320878
            3.2     0.76631126    0.012757492      0.6351616    0.010554115     0.92936392    0.015627627
            3.4     0.41686785   0.0094469658      0.3430631   0.0077556273     0.50978784    0.011675033
            3.6     0.24112175   0.0072304137     0.19781537   0.0059128208     0.29582503   0.0089609799
            3.8     0.12582334   0.0051977378     0.10293769   0.0042491209     0.15492425   0.0064435095
              4     0.12582334   0.0051977378     0.10293769   0.0042491209     0.15492425   0.0064435095
