#    R_etattbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      2.9980008    0.025096303      2.6283001    0.021908764       3.411198    0.028992307
            0.2      8.7367073    0.042737527      7.6825385    0.037435394      9.8988899    0.049089442
            0.4      14.430454    0.055064015      12.706607    0.048244561      16.316863    0.063248164
            0.6      20.228283    0.065347396      17.833403    0.057270472      22.832617    0.074990541
            0.8      26.072996    0.074365807      23.006717    0.065164409      29.389755    0.085472499
              1      32.079885     0.08284893      28.325577    0.072503704      36.119288    0.095150197
            1.2      39.189979    0.091698127      34.631299    0.080251824      44.067202     0.10531118
            1.4      47.536312     0.10119274      42.030256    0.088512938      53.396655     0.11634352
            1.6      58.496307     0.11238441      51.763864    0.098328368      65.610433     0.12919452
            1.8      72.973343     0.12556485      64.619552     0.10980577      81.736816     0.14435206
              2      93.342108     0.14174295       82.72939     0.12393905      104.38002     0.16290316
            2.2      122.36514     0.16189567      108.56876     0.14166476      136.55444     0.18631728
            2.4      164.26359     0.18675759      145.91725     0.16333227      182.89542     0.21494904
            2.6      223.76403     0.21530749      199.01535     0.18842087      248.54882     0.24768969
            2.8      300.48451     0.24633873      267.56002     0.21615861      332.98998     0.28578295
              3       345.8996     0.26267598      307.87222     0.22930587      383.33528      0.3033413
            3.2      174.83287     0.19423654      154.14565      0.1682807      196.20278     0.22636167
            3.4      100.14529      0.1493461       87.53888     0.12857497      113.66911     0.17580708
            3.6      63.461305     0.11975616       55.11163      0.1023866      72.660345     0.14133509
            3.8      41.967658    0.097827824      36.260941    0.083321203      48.367919      0.1161656
              4      28.534695    0.080972499      24.529348    0.068629582      33.107513    0.096482312
            4.2      19.695688    0.067365667      16.853591    0.056924495      22.988287     0.08063442
            4.4      13.825456    0.056662597      11.785946    0.047679682      16.214053    0.068111797
            4.6      9.6837065    0.047598861      8.2236053    0.039909705      11.411858    0.057426639
            4.8      6.8782999    0.040263249      5.8213516     0.03365015      8.1405424    0.048756039
              5      6.8782999    0.040263249      5.8213516     0.03365015      8.1405424    0.048756039
