#    dyHiggstop        central        num_err    min (scale)        num_err    max (scale)        num_err
             -4     0.12551644   0.0052482971     0.10197718   0.0042549507     0.15584207   0.0065716244
           -3.8     0.23708601    0.007101193     0.19461903    0.005824359       0.290685   0.0087838221
           -3.6     0.43382418   0.0097270161     0.35943125   0.0080194791     0.52603283    0.011997829
           -3.4     0.75979571    0.012784447     0.63081158    0.010560567     0.91963294    0.015694503
           -3.2      1.2870287    0.016546441      1.0749729    0.013781464      1.5464235    0.020254495
             -3      2.2387805    0.021778178       1.876514    0.018207172      2.6794918    0.026436309
           -2.8      3.5134458    0.027369538      2.9606142    0.022967068      4.1792392    0.033046051
           -2.6       5.771383    0.034913454      4.8893818    0.029477886      6.8209453    0.041804569
           -2.4      8.9378855    0.043403615      7.6228632    0.036921431      10.477782    0.051851227
           -2.2      13.690823    0.053693188      11.732264    0.045873434      15.959014    0.063674644
             -2       20.50148    0.065602596      17.655302    0.056238113      23.757038    0.077302595
           -1.8      30.005652    0.079166663      25.961112    0.068191749      34.570358    0.092888045
           -1.6      43.306296    0.094965395      37.653538    0.082134225      49.593486     0.11074646
           -1.4      60.709962     0.11228577      53.003239     0.09743951      69.163805     0.13033776
           -1.2      82.772494     0.13083696      72.542842     0.11395308      93.840092      0.1515786
             -1      108.91975     0.14988317      95.760313     0.13073117      122.97798     0.17302298
           -0.8      139.14668     0.16886127      122.64733     0.14745802      156.57043     0.19445845
           -0.6      168.27063     0.18534213      148.67749     0.16299484      188.71341     0.21619172
           -0.4      191.71541     0.19786641      169.68105      0.1730337      214.48886     0.22761756
           -0.2      203.90093     0.20464165      180.72968     0.17890954      227.65307     0.23541448
              0      200.63766     0.20439057      178.07676     0.17864342       223.5736     0.23517957
            0.2      182.01699     0.19694442      161.80111     0.17226601      202.36325     0.22752077
            0.4      154.04742     0.18377928        137.087     0.16039081      170.98352      0.2119086
            0.6      122.58578     0.16647018       109.1847      0.1450732      135.87169     0.19214276
            0.8      93.100546     0.14757176      82.965412     0.12835426      103.07778     0.17086581
              1      67.595229     0.12763623      60.230048     0.11072929      74.820617     0.14824902
            1.2      47.953768     0.10899986      42.696257    0.094383071      53.112242     0.12732135
            1.4      32.903851    0.091565477      29.238584    0.078873169      36.520909     0.10725003
            1.6      22.130651     0.07605164      19.617061    0.065218879      24.629082    0.089548591
            1.8      14.693049    0.064048926      12.980101     0.05446666       16.41594     0.07656579
              2      9.5983413    0.051189265      8.4372444    0.043409721      10.791153    0.061067305
            2.2      6.1432915    0.041374809      5.3679574    0.034878651      6.9581989    0.049744729
            2.4       3.902966    0.033107051      3.3930917     0.02777017      4.4475459    0.040012035
            2.6      2.4013327    0.025981304      2.0761338    0.021891014      2.7550739    0.031852204
            2.8      1.4361345    0.020245609      1.2343457    0.016861535      1.6592371    0.024869153
              3     0.84898111    0.015680574     0.72428076    0.012949828      0.9895955    0.019366362
            3.2     0.49304093    0.011947533     0.41739177   0.0097940023     0.58067634    0.014778785
            3.4     0.28579564    0.009200074     0.24134532   0.0075166523     0.33753365    0.011418162
            3.6     0.14057701   0.0064693258     0.11772993   0.0052488587     0.16778263   0.0080886851
            3.8    0.081624328   0.0048704635    0.067345173   0.0039218213    0.099225621   0.0061333632
              4    0.081624328   0.0048704635    0.067345173   0.0039218213    0.099225621   0.0061333632
