#      R_yttbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      4.8853776    0.031678373      4.2846972    0.027754311      5.5576672    0.036404198
            0.2      14.211493    0.054077529      12.511733    0.047498704      16.080676    0.061861565
            0.4      22.974975    0.069130123      20.251865    0.060660463      25.948691     0.07914157
            0.6      30.600438     0.08029752      26.992929    0.070375877      34.519336    0.092104887
            0.8      37.913823     0.08980292      33.460476     0.07861181      42.730007     0.10322367
              1      44.730014    0.098043967      39.488187    0.085697735      50.376883      0.1128466
            1.2      52.045505     0.10606989       45.94713    0.092615584      58.597168      0.1222583
            1.4      60.567778     0.11465635       53.47932     0.10003394       68.15245     0.13226325
            1.6      71.733593     0.12480829       63.35184     0.10883419      80.665266     0.14399285
            1.8      86.802879     0.13719063      76.738576      0.1197487      97.432458     0.15847726
              2      108.72373     0.15308559      96.174084     0.13350682      121.87873     0.17653383
            2.2      139.60672     0.17271312      123.62959     0.15073781      156.17497     0.19917119
            2.4      184.50353     0.19737981      163.62418     0.17233235      205.86389     0.22787001
            2.6       247.5971      0.2255501      219.82585     0.19694639      275.65125     0.25975564
            2.8      327.09234     0.25558153      290.78347     0.22386282      363.23506     0.29697752
              3      362.45374     0.26810716      322.08116     0.23367416      402.50077     0.31024879
            3.2      139.93084     0.17628864      122.68691     0.15185344      158.01481     0.20752052
            3.4      58.419005     0.11609555      50.472796    0.098569973      67.180796     0.13834095
            3.6       27.15879    0.079608813      23.169041    0.066902767      31.717339     0.09610735
            3.8      13.366451    0.056084561      11.261783    0.046617751      15.846929    0.068420613
              4      6.7495185    0.040118106      5.6263655    0.033014852      8.1045556    0.049341019
            4.2      3.4859484    0.029259437      2.8778349    0.023886764       4.232514    0.036389305
            4.4       1.845076    0.021639682      1.5080645    0.017506752      2.2670428    0.027083504
            4.6      1.0001351    0.016135741     0.81004839    0.012967323      1.2419488    0.020328441
            4.8     0.54714727    0.012187767     0.44003105   0.0097416705      0.6850246    0.015436719
              5     0.54714727    0.012187767     0.44003105   0.0097416705      0.6850246    0.015436719
