#  dphiHiggstop        central        num_err    min (scale)        num_err    max (scale)        num_err
              0       100.0297      0.1473568      88.343917     0.12826906        112.029     0.17047658
            0.2      99.141295      0.1467354      87.570423     0.12781441      111.02582     0.16982578
            0.4      98.010906     0.14571613      86.534009      0.1269318      109.84355     0.16849396
            0.6      97.264509     0.14509899      85.883808      0.1264815      109.01414     0.16801875
            0.8      97.530785     0.14528506      86.095377     0.12649002       109.3716     0.16784139
              1       99.02067     0.14627456      87.433804     0.12865767      111.01683     0.17280411
            1.2      101.49512     0.14827127      89.617375     0.12906522      113.82211     0.17125731
            1.4      106.02126     0.15149754      93.627971     0.13186675      118.90057      0.1750335
            1.6      112.66007     0.15602167      99.531067     0.13587218      126.30444      0.1803921
            1.8      122.02863     0.16220644      107.84241     0.14133739      136.77078     0.18772299
              2      134.05322     0.16971253       118.4863     0.14780941      150.24297     0.19633848
            2.2       149.5582     0.17894281      132.24785     0.15578718      167.54989      0.2069379
            2.4      168.49004     0.18961016      149.08107     0.16507128      188.61643      0.2193933
            2.6      190.51181     0.20103916      168.65688     0.17508035      213.11723     0.23298844
            2.8       213.2876     0.21261541      188.87969     0.18489699       238.4812     0.24656567
              3       160.3475     0.18619394      142.04721     0.16206754      179.19178     0.21569742
            3.2       160.3475     0.18619394      142.04721     0.16206754      179.19178     0.21569742
