#           ptH        central        num_err    min (scale)        num_err    max (scale)        num_err
              0   0.0018383156  7.9884228e-05       0.001625   7.069441e-05    0.002062224  8.9785118e-05
              5   0.0055037868   0.0001382146   0.0048709349  0.00012243455   0.0061637945  0.00015508922
             10   0.0087173803  0.00017370559   0.0077075424  0.00015375254   0.0097736777  0.00019514697
             15    0.012233714  0.00020562011    0.010811586  0.00018187334    0.013717646  0.00023105012
             20    0.015272133  0.00022955969    0.013492975  0.00020302951    0.017134526  0.00025806071
             25    0.018164424  0.00025048474    0.016079346  0.00022176132    0.020330607  0.00028135956
             30    0.020055042  0.00026280714    0.017743825  0.00023268057    0.022462292   0.0002952574
             35    0.023325483  0.00019904062    0.020636393  0.00017629956    0.026118576  0.00022373024
             45    0.026933997  0.00017302852    0.023813773  0.00015314894    0.030188081  0.00019449185
             60    0.028072925  0.00015168811     0.02481825  0.00013421101    0.031464336   0.0001705658
             80    0.026506313  0.00014764964    0.023451165  0.00013075793    0.029674407  0.00016590211
            100    0.022946269  0.00013795056    0.020295265  0.00012214405    0.025689278  0.00015505394
            120     0.01868929  0.00012512307    0.016539538  0.00011084301    0.020906172  0.00014049575
            140    0.013979884  8.8116927e-05    0.012375081  7.8071162e-05    0.015626972  9.9076519e-05
            170   0.0097300826  7.4063146e-05   0.0086057533  6.5559718e-05    0.010884313  8.3301101e-05
            200   0.0058565892  4.4529034e-05   0.0051794935  3.9440336e-05   0.0065471474   5.016735e-05
            250    0.002338361  1.9958878e-05   0.0020675547  1.7655065e-05   0.0026126091  2.2495967e-05
            350   0.0007012246  1.1019072e-05  0.00061951497    9.74679e-06  0.00078312338  1.2411061e-05
            450  2.7680915e-06  5.9745517e-08  2.4400338e-06  5.2655207e-08  3.0913253e-06  6.7634543e-08
          14000  2.7680915e-06  5.9745517e-08  2.4400338e-06  5.2655207e-08  3.0913253e-06  6.7634543e-08
