# deta2l-ptHcut        central        num_err    min (scale)        num_err    max (scale)        num_err
# 20
              0    0.033454521   0.0013610054    0.029453482   0.0011992918    0.037759406   0.0015391208
     0.31415927    0.035138298   0.0013935888    0.030842984   0.0012243804    0.039804153   0.0015813103
     0.62831853     0.03722761   0.0014340685    0.032855667   0.0012668505    0.041889234   0.0016160087
      0.9424778     0.03540202   0.0013985155     0.03116867   0.0012324128     0.03991597   0.0015792583
      1.2566371    0.041870491   0.0015207036    0.036881231   0.0013407986    0.047199055   0.0017170592
      1.5707963    0.048856928   0.0016427719    0.043144868    0.001452218    0.054837253   0.0018472995
      1.8849556    0.051232686    0.001682121    0.045337133   0.0014900759    0.057330732   0.0018857915
      2.1991149    0.055428326   0.0017511129    0.049166251   0.0015539781    0.061821744   0.0019587639
      2.5132741    0.056276281   0.0017643808    0.049987713    0.001568929    0.062653336   0.0019688466
      2.8274334    0.055413055   0.0017498473    0.049289103   0.0015583562    0.061586297   0.0019493933
      3.1415927    0.055413055   0.0017498473    0.049289103   0.0015583562    0.061586297   0.0019493933
