#         yslep        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      2.8706391    0.015323853      2.5407844    0.013573707      3.2099411    0.017210876
            0.2      2.8297046    0.015220217      2.5034948    0.013480033       3.166109    0.017091734
            0.4      2.7062663    0.014909602      2.3958346    0.013216261      3.0249437    0.016743783
            0.6      2.4981804    0.014361632      2.2116174    0.012723082      2.7925036    0.016144621
            0.8       2.245446    0.013655923      1.9857896     0.01208616      2.5136869    0.015354585
              1       1.991613    0.012893748       1.760741    0.011411446       2.230582    0.014491437
            1.2      1.7062651    0.011978436      1.5092506      0.0106053      1.9100493     0.01347015
            1.4      1.4007133    0.010892604      1.2375293   0.0096292446      1.5702127     0.01226144
            1.6      1.1182295   0.0097648186     0.98869556   0.0086419692      1.2524511    0.011010657
            1.8     0.89455346   0.0087508121     0.79040286   0.0077394586      1.0030329   0.0098550327
              2     0.89455346   0.0087508121     0.79040286   0.0077394586      1.0030329   0.0098550327
