# deta2l-ptHcut        central        num_err    min (scale)        num_err    max (scale)        num_err
# 50
              0     0.18241767   0.0031681303     0.16041589   0.0027888311     0.20625146   0.0035882363
     0.31415927     0.18684964   0.0032079376     0.16441257   0.0028252443     0.21095788    0.003629642
     0.62831853     0.19165777   0.0032476398     0.16878398   0.0028625626     0.21621601   0.0036708627
      0.9424778     0.20554312   0.0033607405     0.18101249   0.0029624738     0.23169881   0.0037947532
      1.2566371     0.22095666   0.0034879646     0.19487961   0.0030783509     0.24859455   0.0039330249
      1.5707963     0.25089835    0.003711482     0.22179601   0.0032836622     0.28127323   0.0041729001
      1.8849556     0.27379385   0.0038751402     0.24247647   0.0034360425     0.30609216   0.0043423015
      2.1991149     0.29821713   0.0040461749     0.26431632   0.0035882121     0.33292581   0.0045314157
      2.5132741     0.31360824   0.0041466534     0.27863653   0.0036905103     0.34892787   0.0046331906
      2.8274334     0.32844473   0.0042461327     0.29233866   0.0037803899     0.36459002   0.0047353201
      3.1415927     0.32844473   0.0042461327     0.29233866   0.0037803899     0.36459002   0.0047353201
