#            yH        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      3.3488131    0.019203637      2.9554801    0.016964165      3.7588224    0.021650743
           0.15      3.2800013    0.019012476      2.8971528    0.016805777      3.6781175    0.021408793
            0.3      3.1716305    0.018710228      2.8005292    0.016535761      3.5574038    0.021064864
           0.45      2.9767856    0.018157272      2.6292883    0.016047827       3.337603    0.020470899
            0.6      2.7853664    0.017588895      2.4624937    0.015571217      3.1195767    0.019803899
           0.75      2.4924292    0.016677863       2.204158    0.014762437      2.7905495    0.018741563
            0.9      2.0592614    0.010578648      1.8229573   0.0093743496      2.3029209    0.011890098
            1.2      1.3774145   0.0075200404      1.2208695   0.0066723673      1.5377521   0.0084351944
            1.6      0.7022965    0.005450319     0.62322846   0.0048412898     0.78266386   0.0060998501
              2     0.25582963   0.0029648371     0.22728871   0.0026370973     0.28449253   0.0033116202
            2.5     0.25582963   0.0029648371     0.22728871   0.0026370973     0.28449253   0.0033116202
