#         yhlep        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      3.0371646    0.015738847      2.6846675    0.013924458      3.4020695    0.017704777
            0.2      2.9478104    0.015521841      2.6080806    0.013742217      3.2981453    0.017451067
            0.4      2.7904696     0.01512749      2.4680469     0.01339198      3.1235733    0.016998671
            0.6      2.5717047     0.01455605      2.2753386    0.012893545      2.8771735    0.016362916
            0.8      2.2907995     0.01378437      2.0271869    0.012209368      2.5625876    0.015496293
              1      1.9954281    0.012907306       1.764768    0.011425846      2.2339896    0.014508203
            1.2      1.6841724    0.011897008      1.4899586    0.010540374      1.8843406    0.013372043
            1.4      1.3505906    0.010696401      1.1943771   0.0094702041      1.5121885     0.01203696
            1.6      1.0347014   0.0093941817     0.91487932   0.0083137228      1.1586692    0.010562902
            1.8     0.79358274   0.0082611279     0.70154207   0.0073074203     0.88886477   0.0093099296
              2     0.79358274   0.0082611279     0.70154207   0.0073074203     0.88886477   0.0093099296
