# deta2l-mcut80        central        num_err    min (scale)        num_err    max (scale)        num_err
              0     0.78443424   0.0065044596      0.6908592   0.0057355301     0.88463532   0.0073514514
     0.31415927     0.77062852   0.0064498495     0.67930337    0.005690671     0.86799353   0.0072838624
     0.62831853     0.75423573    0.006381426     0.66593246   0.0056404781     0.84768809   0.0071903747
      0.9424778     0.67672661   0.0060520925     0.59799524   0.0053540424      0.7595809   0.0068090306
      1.2566371     0.54429391   0.0054420812     0.48159008    0.004819677       0.609725   0.0061104735
      1.5707963      0.4159382   0.0047653847     0.36829803   0.0042250284      0.4654792   0.0053439157
      1.8849556     0.30992126   0.0041225113     0.27428604   0.0036523587     0.34717845   0.0046298083
      2.1991149     0.22849337   0.0035424832     0.20220024   0.0031390179     0.25599957   0.0039779607
      2.5132741     0.19013103   0.0032376977     0.16859616   0.0028721867     0.21254358   0.0036324776
      2.8274334       0.180236   0.0031514142     0.15998805   0.0028001757     0.20124667   0.0035286514
      3.1415927       0.180236   0.0031514142     0.15998805   0.0028001757     0.20124667   0.0035286514
