# deta2l-nomcut        central        num_err    min (scale)        num_err    max (scale)        num_err
              0     0.99118115   0.0072881382      0.8709443   0.0064119374      1.1209562   0.0082618669
     0.31415927      1.0149629   0.0073759302     0.89240256   0.0064908963      1.1468295   0.0083578193
     0.62831853      1.0665297   0.0075521985      0.9391892   0.0066575772      1.2024322   0.0085390264
      0.9424778      1.1471649    0.007820345       1.010734   0.0068984724      1.2918934   0.0088309522
      1.2566371      1.2475876   0.0081482509      1.1005118   0.0071933004      1.4020006   0.0091955459
      1.5707963      1.3893781   0.0085718547      1.2280425   0.0075855519        1.55658   0.0096330239
      1.8849556      1.5491565   0.0090337314      1.3720382   0.0080100544      1.7298925    0.010148073
      2.1991149      1.6783817   0.0093813129      1.4888959   0.0083276998      1.8696624    0.010504079
      2.5132741       1.788178   0.0096669682      1.5886964   0.0085954461      1.9873816    0.010811159
      2.8274334      1.8659867   0.0098625763      1.6599615    0.008780139      2.0701492    0.011020088
      3.1415927      1.8659867   0.0098625763      1.6599615    0.008780139      2.0701492    0.011020088
