#          ytop        central        num_err    min (scale)        num_err    max (scale)        num_err
             -4 -0.00047996194  0.00095330295 -0.00047923739  0.00095237569 -0.00048170323  0.00095415811
           -3.8    0.012652555   0.0045271112    0.012799754   0.0045727665    0.012309766    0.004379623
           -3.6    0.066844496    0.051344433    0.066875274    0.051543905    0.067055227    0.050808544
           -3.4     0.46199973    0.025826483     0.46210068    0.025942218     0.46254529    0.025829778
           -3.2      1.4980193    0.049404113      1.4962514    0.049626909      1.5014653    0.049043675
             -3      3.3295198    0.069590942      3.3211178    0.069784188      3.3442901    0.069499265
           -2.8      7.0023111     0.10557093      6.9813722      0.1057484      7.0370767     0.10555268
           -2.6      12.501295     0.11772449      12.455158     0.11725669      12.573915     0.11857865
           -2.4      20.697755     0.13787169      20.612589     0.13770843      20.828029     0.13825005
           -2.2        30.8275     0.15461465       30.68029     0.15380976      31.046033     0.15593563
             -2      44.249824     0.18274247      44.013401     0.18151761       44.59395     0.18452861
           -1.8      58.906988     0.21460247      58.570935     0.21437104      59.392076     0.21552902
           -1.6      74.294022     0.22422338      73.831886     0.22266111      74.951379     0.22647918
           -1.4      91.817655     0.24527503       91.21502      0.2436075       92.66827     0.24764591
           -1.2      107.97509      0.2627129      107.23246     0.26086804      109.01838     0.26532578
             -1      124.05658     0.28539822      123.17312     0.28300382      125.28982     0.28864284
           -0.8      138.41485      0.2981116      137.39855     0.29576297      139.83031     0.30146433
           -0.6      149.34858     0.30496752      148.22782     0.30264502      150.90375     0.30820505
           -0.4      157.72953     0.31882517      156.52072     0.31600944      159.40146     0.32276394
           -0.2      161.20475      0.3169088       159.9709     0.31452043      162.91156     0.32024495
              0      161.30124     0.32490833      160.06603     0.32209659      163.01171     0.32888867
            0.2      157.32252     0.31507158      156.12722     0.31296394      158.97628     0.31803598
            0.4       149.1333     0.31029737      148.02359     0.30837874      150.67499     0.31305515
            0.6      138.13873     0.30380049      137.12757     0.30191839      139.54804     0.30654808
            0.8      124.46523     0.28505329      123.57268     0.28277589      125.71075     0.28824033
              1      108.89696     0.26565899      108.15581     0.26398168       109.9396      0.2680967
            1.2      91.599229     0.25861969      90.998223     0.25662459      92.446881      0.2614296
            1.4      75.267122     0.24686455      74.791429     0.24280956      75.940359     0.25269408
            1.6      58.751736      0.2255114      58.413076     0.22393221      59.240215     0.22781645
            1.8       43.54403     0.17550068      43.311414     0.17449806      43.882881     0.17695847
              2      30.797331     0.15051438      30.637964      0.1510924      31.029666     0.15158124
            2.2        20.3235     0.13187267      20.233346     0.13132296       20.45754     0.13263485
            2.4      12.553927     0.10335984      12.507602     0.10307571      12.625993     0.10382745
            2.6       6.967327    0.086384397      6.9455583    0.086055902      7.0030197    0.086975188
            2.8      3.4069696     0.14698751      3.4003343     0.14760146      3.4195283      0.1458317
              3      1.4624084    0.058262278      1.4604384    0.058269236      1.4657286    0.058096017
            3.2     0.37660819    0.064267112     0.37608846    0.064498578     0.37826864    0.063855491
            3.4     0.19105942    0.093595166     0.19216898    0.094493469     0.18950845     0.09198211
            3.6    0.015793705   0.0088517652    0.015690441   0.0087720044    0.015759234   0.0087602475
            3.8  -0.0026936351   0.0033218472  -0.0026326058    0.003259282  -0.0027080155   0.0033395179
              4  -0.0026936351   0.0033218472  -0.0026326058    0.003259282  -0.0027080155   0.0033395179
