# dphiHiggstbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      116.52166     0.53497937      114.86998     0.52800088      118.41182      0.5825619
            0.2      114.65097     0.53207685      113.15793     0.52569714      116.41599     0.55403001
            0.4      113.64918     0.53028909      112.24205     0.52448172      115.27273     0.54659844
            0.6      113.26073     0.52917237      112.01712     0.52425498      114.76917     0.54711103
            0.8      113.22111     0.53405852      112.09308     0.52891396      114.41441     0.54877316
              1      114.98505     0.53883881      113.94192     0.53441022      116.20757     0.55454845
            1.2       119.1449     0.54269705      118.20252     0.53969095      120.35329     0.55443549
            1.4       124.3267     0.56049856      123.41918     0.55739245       125.5558     0.57707784
            1.6      132.53128     0.58064613      131.70549     0.57743306      133.69037     0.59578685
            1.8      143.06114     0.60415215      142.28653      0.6016789       144.3031     0.61623264
              2       158.4623     0.64416677      157.58247     0.63870325      160.13521     0.66074442
            2.2      176.60235     0.67748103       175.7639      0.6747461      177.88591     0.70063175
            2.4      201.90947     0.72374885      200.94494     0.72038482      203.88873     0.74355407
            2.6       228.8991      0.7866234      227.74863     0.78019377      231.19276     0.81481445
            2.8      256.19055     0.82670831       254.7345     0.82042715      259.40496     0.86813304
              3      191.44902     0.73699687      190.10154     0.72987855      194.29371     0.77073303
            3.2      191.44902     0.73699687      190.10154     0.72987855      194.29371     0.77073303
