# R_etaHiggstop        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      13.113865      0.1779628      12.907924       0.175484      13.309759     0.18180491
            0.2       38.74054     0.30870787      38.169015     0.30400122      39.320637     0.31413169
            0.4      59.460333     0.38296228      58.570215     0.37767387      60.272322     0.39648806
            0.6      76.514592     0.43534823      75.515081     0.43088989      77.687221     0.44420604
            0.8      89.911935     0.46898936      88.863615       0.464727      91.086337     0.47704606
              1      100.46703     0.50206621      99.360395     0.49646925      101.76953     0.51582338
            1.2      109.88566     0.52243368      108.75057      0.5181736      111.26415     0.53150777
            1.4      119.19404     0.54525642      118.10504     0.54061646        120.603     0.55382313
            1.6      128.20991     0.56969501      127.16056     0.56513991      129.45933     0.58278989
            1.8      138.40842      0.5941778      137.37951     0.59015826       139.7745     0.61065236
              2      152.22511     0.62541374      151.21868     0.62178309      153.57858     0.63573069
            2.2      169.35405     0.66245991      168.33574     0.65948772      171.25049     0.67724924
            2.4      189.71225     0.69798998      188.71633     0.69462385      191.39028     0.71564486
            2.6      215.77748     0.76504604      214.65781      0.7601638      217.99385     0.78931012
            2.8      243.20998     0.79757879      241.87829     0.79419727      245.83423     0.81509506
              3      248.19346     0.82654063      246.55107     0.81657996      251.35015       0.865453
            3.2      120.75317      0.5703511      120.04415     0.56537933      122.33282     0.60132238
            3.4       69.76188      0.4314691      69.415727     0.42888054      70.618783     0.45131818
            3.6      43.251466     0.33435475      43.007708     0.33255115       43.74206     0.34826298
            3.8      28.174789     0.26678429      28.017089     0.26532202      28.553416     0.27717815
              4      18.913744     0.21821275      18.808061     0.21700834      19.090747     0.22550391
            4.2      12.763296     0.17980659      12.683175     0.17882643      12.904408     0.18412207
            4.4      8.5675685     0.14568689      8.5094043     0.14485255      8.6455176     0.15070076
            4.6      5.9455749     0.11959923      5.9055543     0.11906284      6.0184006     0.12166613
            4.8      4.1753166    0.099162624      4.1492265    0.098579864      4.2433009     0.10281235
              5      4.1753166    0.099162624      4.1492265    0.098579864      4.2433009     0.10281235
