#   R_yHiggstop        central        num_err    min (scale)        num_err    max (scale)        num_err
              0       20.37582     0.22399687       20.01031     0.22045563      20.687713     0.23042971
            0.2      57.974101     0.37719328      56.963786     0.37057565      58.897788     0.38596757
            0.4       86.01382     0.46364567       84.68799     0.45708823      87.473751     0.48646011
            0.6      105.21915      0.5080984      103.77798     0.50228826      106.85215     0.52695145
            0.8      116.81723     0.54019031      115.39123     0.53428176      118.50402     0.55661233
              1      122.21597     0.55496175      120.85994     0.54916569      123.92856     0.56815381
            1.2      126.90187     0.56066124      125.69491     0.55582826      128.43373     0.57737281
            1.4      131.38856     0.57380904      130.31332     0.56958492      132.80637     0.58792456
            1.6      137.05672     0.59031536      136.08016     0.58635875      138.41275      0.6026006
            1.8      146.09163     0.60998123      145.15592     0.60685404      147.58643     0.62283594
              2      158.09596     0.63442717      157.19897     0.63190012      159.57708     0.65061229
            2.2      173.62956     0.66838345      172.72074     0.66425893      175.34815     0.68830018
            2.4      193.35929     0.70948863      192.38994      0.7059517      195.46155     0.73780616
            2.6      218.44173     0.77403458      217.29248     0.76975859       220.5503     0.79472825
            2.8      246.03195     0.81070949      244.71879     0.80451788      248.76062     0.83731006
              3       240.8969     0.81467327       239.3837     0.80569163       244.2095     0.87443602
            3.2      79.984787     0.46092525      79.770603     0.45991982      80.529287     0.48171659
            3.4      30.946027     0.28215909      30.932761     0.28213615      31.048065     0.29129094
            3.6      13.601094     0.18504279      13.598401     0.18519086       13.65505     0.18955223
            3.8       5.734215     0.11848812      5.7342152     0.11848811      5.7553133     0.12024906
              4      2.7788895    0.080657461      2.7732422    0.081532806      2.7788895    0.080657461
            4.2     0.89688404    0.045843695     0.89417422    0.046323023     0.89794781    0.045857613
            4.4     0.23768116    0.025432687     0.23377218    0.025475275     0.23768118    0.025432688
            4.6     0.16223693    0.023891194     0.15995248    0.024190532     0.16223693    0.023891194
            4.8   0.0023924004   0.0091331954   0.0011489607   0.0083608749   0.0097741121    0.013216656
              5   0.0023924004   0.0091331954   0.0011489607   0.0083608749   0.0097741121    0.013216656
