#      R_yttbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0     0.56697472   0.0067103269     0.49441774   0.0066540833      0.6585407    0.006884615
            0.2      1.2689439    0.010741217       1.041266     0.01057854      1.5761415    0.011466213
            0.4      1.7953801     0.01377973      1.3549484    0.017206589      2.3484622    0.014569212
            0.6      2.2369082    0.013812472      1.5433689    0.018138052       3.056273    0.015539579
            0.8      2.6864552    0.015108172      1.7651396    0.019667283      3.7655726    0.017339406
              1      3.1666568    0.018438941      2.0213413    0.029159243      4.5068069     0.02149394
            1.2      3.8212514    0.015989886      2.5313696    0.021980328      5.3767227    0.018141782
            1.4      4.8541293    0.017546626      3.4047575    0.022718431      6.6939706    0.024556623
            1.6      6.2438853    0.022852705      4.5718883    0.025155526      8.3514951    0.024384369
            1.8      8.4351193    0.026814688      6.4947063    0.030249613       10.84239    0.025457188
              2      11.801567    0.023228166      9.5043947    0.023547333      14.633775    0.026613001
            2.2      17.284825    0.029303686      14.542238     0.03055481      20.620419    0.031513509
            2.4      26.054978    0.032260738      22.773514     0.03167553        30.0311    0.035065592
            2.6      40.341237    0.036645483       36.50104    0.035636141       44.98784    0.038902277
            2.8      62.178656    0.043339686      57.900706    0.042224498      67.308766    0.044850076
              3      76.791436    0.045140456      72.377398    0.043604735      81.976813    0.047363642
            3.2      25.139215     0.02889227      22.664362    0.026798403      27.929829    0.032094589
            3.4      9.1131011    0.018729364      8.0187569    0.017057443      10.349656    0.021496726
            3.6      3.7483615    0.013404019       3.253476    0.012285639      4.3151899    0.015453489
            3.8      1.6183353   0.0088012908      1.3800394   0.0082404738       1.894286    0.009779292
              4      0.6900482     0.00657139     0.56680089   0.0064828247     0.83476787   0.0070025804
            4.2     0.28727213   0.0043165627     0.22226049   0.0042510545     0.36366252   0.0045100634
            4.4     0.10919147   0.0030916684    0.072690734    0.003137393     0.15254188    0.003134293
            4.6    0.027784303   0.0023607669   0.0072639836   0.0024929443    0.052788047    0.002249563
            4.8  0.00016590685   0.0016688293   -0.010425701   0.0018126531    0.012948138      0.0015197
              5  0.00016590685   0.0016688293   -0.010425701   0.0018126531    0.012948138      0.0015197
